"","age_group","variable","value","immunity_type","waning_group"
"1","0-17 years","beta_0",1,"immune-naive",NA
"2","18-49 years","beta_0",1,"immune-naive",NA
"3","50-64 years","beta_0",1,"immune-naive",NA
"4","65-74 years","beta_0",1,"immune-naive",NA
"5","75+ years","beta_0",1,"immune-naive",NA
"6","0-17 years","beta_V_1",0.315824258965229,"vaccine-only",1
"7","18-49 years","beta_V_1",0.315824258965229,"vaccine-only",1
"8","50-64 years","beta_V_1",0.297796904014912,"vaccine-only",1
"9","65-74 years","beta_V_1",0.241202387771493,"vaccine-only",1
"10","75+ years","beta_V_1",0.241202387771493,"vaccine-only",1
"11","0-17 years","beta_1",0.165580946511511,"hybrid/infection-only",1
"12","18-49 years","beta_1",0.165580946511511,"hybrid/infection-only",1
"13","50-64 years","beta_1",0.156129530380424,"hybrid/infection-only",1
"14","65-74 years","beta_1",0.126458049165999,"hybrid/infection-only",1
"15","75+ years","beta_1",0.126458049165999,"hybrid/infection-only",1
"16","0-17 years","beta_V_2",0.483246088276039,"vaccine-only",2
"17","18-49 years","beta_V_2",0.483246088276039,"vaccine-only",2
"18","50-64 years","beta_V_2",0.455662238985146,"vaccine-only",2
"19","65-74 years","beta_V_2",0.36906636227158,"vaccine-only",2
"20","75+ years","beta_V_2",0.36906636227158,"vaccine-only",2
"21","0-17 years","beta_2",0.253357183380714,"hybrid/infection-only",2
"22","18-49 years","beta_2",0.253357183380714,"hybrid/infection-only",2
"23","50-64 years","beta_2",0.238895470119734,"hybrid/infection-only",2
"24","65-74 years","beta_2",0.193494818259722,"hybrid/infection-only",2
"25","75+ years","beta_2",0.193494818259722,"hybrid/infection-only",2
"26","0-17 years","beta_V_3",0.603572842611401,"vaccine-only",3
"27","18-49 years","beta_V_3",0.603572842611401,"vaccine-only",3
"28","50-64 years","beta_V_3",0.569120701703107,"vaccine-only",3
"29","65-74 years","beta_V_3",0.460962724360974,"vaccine-only",3
"30","75+ years","beta_V_3",0.460962724360974,"vaccine-only",3
"31","0-17 years","beta_3",0.316442324271366,"hybrid/infection-only",3
"32","18-49 years","beta_3",0.316442324271366,"hybrid/infection-only",3
"33","50-64 years","beta_3",0.298379689945447,"hybrid/infection-only",3
"34","65-74 years","beta_3",0.241674418729873,"hybrid/infection-only",3
"35","75+ years","beta_3",0.241674418729873,"hybrid/infection-only",3
"36","0-17 years","beta_V_4",0.697942193464623,"vaccine-only",4
"37","18-49 years","beta_V_4",0.697942193464623,"vaccine-only",4
"38","50-64 years","beta_V_4",0.658103418262193,"vaccine-only",4
"39","65-74 years","beta_V_4",0.533034809110959,"vaccine-only",4
"40","75+ years","beta_V_4",0.533034809110959,"vaccine-only",4
"41","0-17 years","beta_4",0.365918468020266,"hybrid/infection-only",4
"42","18-49 years","beta_4",0.365918468020266,"hybrid/infection-only",4
"43","50-64 years","beta_4",0.345031718764554,"hybrid/infection-only",4
"44","65-74 years","beta_4",0.279460509162129,"hybrid/infection-only",4
"45","75+ years","beta_4",0.279460509162129,"hybrid/infection-only",4
"46","0-17 years","beta_V_5",0.76868477705874,"vaccine-only",5
"47","18-49 years","beta_V_5",0.76868477705874,"vaccine-only",5
"48","50-64 years","beta_V_5",0.724807991385765,"vaccine-only",5
"49","65-74 years","beta_V_5",0.587062578022479,"vaccine-only",5
"50","75+ years","beta_V_5",0.587062578022479,"vaccine-only",5
"51","0-17 years","beta_5",0.403007525043821,"hybrid/infection-only",5
"52","18-49 years","beta_5",0.403007525043821,"hybrid/infection-only",5
"53","50-64 years","beta_5",0.380003719935824,"hybrid/infection-only",5
"54","65-74 years","beta_5",0.307786291176423,"hybrid/infection-only",5
"55","75+ years","beta_5",0.307786291176423,"hybrid/infection-only",5
"56","0-17 years","beta_V_6",0.838627329527325,"vaccine-only",6
"57","18-49 years","beta_V_6",0.838627329527325,"vaccine-only",6
"58","50-64 years","beta_V_6",0.790758199429595,"vaccine-only",6
"59","65-74 years","beta_V_6",0.64047934441506,"vaccine-only",6
"60","75+ years","beta_V_6",0.64047934441506,"vaccine-only",6
"61","0-17 years","beta_6",0.439677140218805,"hybrid/infection-only",6
"62","18-49 years","beta_6",0.439677140218805,"hybrid/infection-only",6
"63","50-64 years","beta_6",0.414580221140346,"hybrid/infection-only",6
"64","65-74 years","beta_6",0.335791735621529,"hybrid/infection-only",6
"65","75+ years","beta_6",0.335791735621529,"hybrid/infection-only",6
"66","0-17 years","beta_V_7",0.901532924106744,"vaccine-only",7
"67","18-49 years","beta_V_7",0.901532924106744,"vaccine-only",7
"68","50-64 years","beta_V_7",0.850073121507923,"vaccine-only",7
"69","65-74 years","beta_V_7",0.688521821159735,"vaccine-only",7
"70","75+ years","beta_V_7",0.688521821159735,"vaccine-only",7
"71","0-17 years","beta_7",0.472657405653311,"hybrid/infection-only",7
"72","18-49 years","beta_7",0.472657405653311,"hybrid/infection-only",7
"73","50-64 years","beta_7",0.445677961928735,"hybrid/infection-only",7
"74","65-74 years","beta_7",0.360979537211579,"hybrid/infection-only",7
"75","75+ years","beta_7",0.360979537211579,"hybrid/infection-only",7
"76","0-17 years","beta_V_8",0.952640413631825,"vaccine-only",8
"77","18-49 years","beta_V_8",0.952640413631825,"vaccine-only",8
"78","50-64 years","beta_V_8",0.898263378337495,"vaccine-only",8
"79","65-74 years","beta_V_8",0.727553808591117,"vaccine-only",8
"80","75+ years","beta_V_8",0.727553808591117,"vaccine-only",8
"81","0-17 years","beta_8",0.49945213800578,"hybrid/infection-only",8
"82","18-49 years","beta_8",0.49945213800578,"hybrid/infection-only",8
"83","50-64 years","beta_8",0.470943241944328,"hybrid/infection-only",8
"84","65-74 years","beta_8",0.381443302231685,"hybrid/infection-only",8
"85","75+ years","beta_8",0.381443302231685,"hybrid/infection-only",8
"86","0-17 years","beta_V_9",0.995482686688554,"vaccine-only",9
"87","18-49 years","beta_V_9",0.995482686688554,"vaccine-only",9
"88","50-64 years","beta_V_9",0.948452233250586,"vaccine-only",9
"89","65-74 years","beta_V_9",0.768204572522324,"vaccine-only",9
"90","75+ years","beta_V_9",0.768204572522324,"vaccine-only",9
"91","0-17 years","beta_9",0.527358130273659,"hybrid/infection-only",9
"92","18-49 years","beta_9",0.527358130273659,"hybrid/infection-only",9
"93","50-64 years","beta_9",0.497256350785512,"hybrid/infection-only",9
"94","65-74 years","beta_9",0.402755762491067,"hybrid/infection-only",9
"95","75+ years","beta_9",0.402755762491067,"hybrid/infection-only",9
"96","0-17 years","beta_V_10",1,"vaccine-only",10
"97","18-49 years","beta_V_10",1,"vaccine-only",10
"98","50-64 years","beta_V_10",0.992631446435713,"vaccine-only",10
"99","65-74 years","beta_V_10",0.806171016833749,"vaccine-only",10
"100","75+ years","beta_V_10",0.806171016833749,"vaccine-only",10
"101","0-17 years","beta_10",0.55342138712134,"hybrid/infection-only",10
"102","18-49 years","beta_10",0.55342138712134,"hybrid/infection-only",10
"103","50-64 years","beta_10",0.52183190816421,"hybrid/infection-only",10
"104","65-74 years","beta_10",0.422660882526366,"hybrid/infection-only",10
"105","75+ years","beta_10",0.422660882526366,"hybrid/infection-only",10
"106","0-17 years","beta_V_11",1,"vaccine-only",11
"107","18-49 years","beta_V_11",1,"vaccine-only",11
"108","50-64 years","beta_V_11",1,"vaccine-only",11
"109","65-74 years","beta_V_11",0.837912929107703,"vaccine-only",11
"110","75+ years","beta_V_11",0.837912929107703,"vaccine-only",11
"111","0-17 years","beta_11",0.575211618664926,"hybrid/infection-only",11
"112","18-49 years","beta_11",0.575211618664926,"hybrid/infection-only",11
"113","50-64 years","beta_11",0.542378345960689,"hybrid/infection-only",11
"114","65-74 years","beta_11",0.439302593000498,"hybrid/infection-only",11
"115","75+ years","beta_11",0.439302593000498,"hybrid/infection-only",11
"116","0-17 years","beta_V_12",1,"vaccine-only",12
"117","18-49 years","beta_V_12",1,"vaccine-only",12
"118","50-64 years","beta_V_12",1,"vaccine-only",12
"119","65-74 years","beta_V_12",0.871708555773599,"vaccine-only",12
"120","75+ years","beta_V_12",0.871708555773599,"vaccine-only",12
"121","0-17 years","beta_12",0.598411686885603,"hybrid/infection-only",12
"122","18-49 years","beta_12",0.598411686885603,"hybrid/infection-only",12
"123","50-64 years","beta_12",0.564254146482437,"hybrid/infection-only",12
"124","65-74 years","beta_12",0.457021028783814,"hybrid/infection-only",12
"125","75+ years","beta_12",0.457021028783814,"hybrid/infection-only",12
"126","0-17 years","beta_V_13",1,"vaccine-only",13
"127","18-49 years","beta_V_13",1,"vaccine-only",13
"128","50-64 years","beta_V_13",1,"vaccine-only",13
"129","65-74 years","beta_V_13",0.903841751790347,"vaccine-only",13
"130","75+ years","beta_V_13",0.903841751790347,"vaccine-only",13
"131","0-17 years","beta_13",0.620470527430471,"hybrid/infection-only",13
"132","18-49 years","beta_13",0.620470527430471,"hybrid/infection-only",13
"133","50-64 years","beta_13",0.58505386098804,"hybrid/infection-only",13
"134","65-74 years","beta_13",0.473867882246957,"hybrid/infection-only",13
"135","75+ years","beta_13",0.473867882246957,"hybrid/infection-only",13
"136","0-17 years","beta_V_14",1,"vaccine-only",14
"137","18-49 years","beta_V_14",1,"vaccine-only",14
