"","week","age_group","total_vaccinated","perc_doses"
"1",2021-09-19,"0-17 years",0,0
"2",2021-09-19,"18-49 years",12463,0.00174497125410831
"3",2021-09-19,"50-64 years",13537,0.00320713363941318
"4",2021-09-19,"65-74 years",32859,0.0133955543017508
"5",2021-09-19,"75+ years",24312,0.0140538290788013
"6",2021-09-26,"0-17 years",0,0
"7",2021-09-26,"18-49 years",78568,0.0110004735210448
"8",2021-09-26,"50-64 years",61868,0.0146575270741829
"9",2021-09-26,"65-74 years",139541,0.0568863642478653
"10",2021-09-26,"75+ years",101355,0.0585894145394007
"11",2021-10-03,"0-17 years",0,0
"12",2021-10-03,"18-49 years",83494,0.011690173304222
"13",2021-10-03,"50-64 years",70513,0.0167056670101161
"14",2021-10-03,"65-74 years",113867,0.0464199026652502
"15",2021-10-03,"75+ years",85151,0.0492225073991861
"16",2021-10-10,"0-17 years",0,0
"17",2021-10-10,"18-49 years",80217,0.0112313535337243
"18",2021-10-10,"50-64 years",76259,0.018066987087834
"19",2021-10-10,"65-74 years",93142,0.037970988732879
"20",2021-10-10,"75+ years",73731,0.0426210460599334
"21",2021-10-17,"0-17 years",0,0
"22",2021-10-17,"18-49 years",91852,0.012860394739016
"23",2021-10-17,"50-64 years",94771,0.0224527784694413
"24",2021-10-17,"65-74 years",110912,0.0452152444905743
"25",2021-10-17,"75+ years",84375,0.0487739317425083
"26",2021-10-24,"0-17 years",0,0
"27",2021-10-24,"18-49 years",168513,0.0235938651162283
"28",2021-10-24,"50-64 years",185948,0.0440540803709538
"29",2021-10-24,"65-74 years",231715,0.0944627306074494
"30",2021-10-24,"75+ years",176199,0.101853842952275
"31",2021-10-31,"0-17 years",0,0
"32",2021-10-31,"18-49 years",219454,0.0307262233490399
"33",2021-10-31,"50-64 years",211441,0.050093783249698
"34",2021-10-31,"65-74 years",214761,0.0875511317264158
"35",2021-10-31,"75+ years",162499,0.093934401590825
"36",2021-11-07,"0-17 years",0,0
"37",2021-11-07,"18-49 years",254722,0.0356641713703744
"38",2021-11-07,"50-64 years",223809,0.0530239619342117
"39",2021-11-07,"65-74 years",177311,0.0722839748257017
"40",2021-11-07,"75+ years",131621,0.07608502127266
"41",2021-11-14,"0-17 years",0,0
"42",2021-11-14,"18-49 years",337766,0.047291339213283
"43",2021-11-14,"50-64 years",287449,0.0681013043891319
"44",2021-11-14,"65-74 years",165748,0.0675701127364371
"45",2021-11-14,"75+ years",119294,0.0689592582315945
"46",2021-11-21,"0-17 years",0,0
"47",2021-11-21,"18-49 years",296607,0.0415285796972882
"48",2021-11-21,"50-64 years",218792,0.0518353537145961
"49",2021-11-21,"65-74 years",95740,0.0390301095240153
"50",2021-11-21,"75+ years",65814,0.0380445338512764
"51",2021-11-28,"0-17 years",0,0
"52",2021-11-28,"18-49 years",437937,0.0613164949137791
"53",2021-11-28,"50-64 years",322740,0.0764623115006434
"54",2021-11-28,"65-74 years",134285,0.0547436626011322
"55",2021-11-28,"75+ years",90327,0.0522145532741398
"56",2021-12-05,"0-17 years",3260,0.00260241002327002
"57",2021-12-05,"18-49 years",494270,0.0692037985852614
"58",2021-12-05,"50-64 years",313549,0.0742848153582302
"59",2021-12-05,"65-74 years",115285,0.0469979755219982
"60",2021-12-05,"75+ years",74129,0.0428511145024047
"61",2021-12-12,"0-17 years",17339,0.013841468525607
"62",2021-12-12,"18-49 years",492995,0.0690252831115401
"63",2021-12-12,"50-64 years",280404,0.0664322302597335
"64",2021-12-12,"65-74 years",96552,0.039361135729713
"65",2021-12-12,"75+ years",60450,0.0349438124306326
"66",2021-12-19,"0-17 years",34962,0.0279096500716461
"67",2021-12-19,"18-49 years",415692,0.058201924942854
"68",2021-12-19,"50-64 years",209569,0.0496502762560523
"69",2021-12-19,"65-74 years",68586,0.0279602996847098
"70",2021-12-19,"75+ years",43453,0.0251185025897151
"71",2021-12-26,"0-17 years",33359,0.0266299987626578
"72",2021-12-26,"18-49 years",395100,0.0553187950331535
"73",2021-12-26,"50-64 years",193954,0.0459508309004021
"74",2021-12-26,"65-74 years",57039,0.0232529602793013
"75",2021-12-26,"75+ years",33790,0.0195326951535331
"76",2022-01-02,"0-17 years",77335,0.0617353923771738
"77",2022-01-02,"18-49 years",492088,0.0688982921039596
"78",2022-01-02,"50-64 years",224387,0.0531608994568224
"79",2022-01-02,"65-74 years",68199,0.02780253226894
"80",2022-01-02,"75+ years",39809,0.023012046799852
"81",2022-01-09,"0-17 years",113189,0.0903571129214447
"82",2022-01-09,"18-49 years",422788,0.059195451061698
"83",2022-01-09,"50-64 years",183353,0.0434392830159802
"84",2022-01-09,"65-74 years",56711,0.023119245260251
"85",2022-01-09,"75+ years",34032,0.0196725860155383
"86",2022-01-16,"0-17 years",94820,0.0756934105541297
"87",2022-01-16,"18-49 years",332765,0.0465911385198869
"88",2022-01-16,"50-64 years",138296,0.0327645529878322
"89",2022-01-16,"65-74 years",42392,0.017281850876771
"90",2022-01-16,"75+ years",26379,0.0152486820199778
"91",2022-01-23,"0-17 years",66244,0.0528816103010733
"92",2022-01-23,"18-49 years",291922,0.0408726228389477
"93",2022-01-23,"50-64 years",114008,0.0270103340446345
"94",2022-01-23,"65-74 years",35099,0.0143087300416066
"95",2022-01-23,"75+ years",21721,0.0125560719570847
"96",2022-01-30,"0-17 years",45759,0.0365287362744824
"97",2022-01-30,"18-49 years",203401,0.028478608525787
"98",2022-01-30,"50-64 years",78384,0.018570433862138
"99",2022-01-30,"65-74 years",24845,0.0101285050253202
"100",2022-01-30,"75+ years",15259,0.00882063910469848
"101",2022-02-06,"0-17 years",33186,0.0264918954086622
"102",2022-02-06,"18-49 years",143184,0.0200474977171021
"103",2022-02-06,"50-64 years",55912,0.0132464546093573
"104",2022-02-06,"65-74 years",18357,0.00748355672166648
"105",2022-02-06,"75+ years",11770,0.00680378283388827
