"","week","age_group","total_vaccinated","perc_doses"
"1",2021-09-19,"0-17 years",0,0
"2",2021-09-19,"18-49 years",12463,0.00174497125410831
"3",2021-09-19,"50-64 years",13740,0.00219591843649329
"4",2021-09-19,"65-74 years",32929,0.0081146644547189
"5",2021-09-19,"75+ years",24337,0.00833403534148759
"6",2021-09-26,"0-17 years",0,0
"7",2021-09-26,"18-49 years",78568,0.0110004735210448
"8",2021-09-26,"50-64 years",62174,0.00993661083482778
"9",2021-09-26,"65-74 years",139671,0.0344190014593532
"10",2021-09-26,"75+ years",101432,0.0347346785864227
"11",2021-10-03,"0-17 years",0,0
"12",2021-10-03,"18-49 years",83494,0.011690173304222
"13",2021-10-03,"50-64 years",70810,0.0113168110981142
"14",2021-10-03,"65-74 years",113973,0.0280862659630622
"15",2021-10-03,"75+ years",85200,0.0291761437767491
"16",2021-10-10,"0-17 years",0,0
"17",2021-10-10,"18-49 years",80217,0.0112313535337243
"18",2021-10-10,"50-64 years",76602,0.012242485012537
"19",2021-10-10,"65-74 years",93243,0.0229777903292342
"20",2021-10-10,"75+ years",73784,0.0252668144650664
"21",2021-10-17,"0-17 years",0,0
"22",2021-10-17,"18-49 years",91852,0.012860394739016
"23",2021-10-17,"50-64 years",95121,0.0152021803200639
"24",2021-10-17,"65-74 years",111069,0.0273706358019124
"25",2021-10-17,"75+ years",84452,0.0289199964111973
"26",2021-10-24,"0-17 years",0,0
"27",2021-10-24,"18-49 years",168513,0.0235938651162283
"28",2021-10-24,"50-64 years",186343,0.0297812248334402
"29",2021-10-24,"65-74 years",231976,0.0571656412751031
"30",2021-10-24,"75+ years",176369,0.060396329832881
"31",2021-10-31,"0-17 years",0,0
"32",2021-10-31,"18-49 years",219454,0.0307262233490399
"33",2021-10-31,"50-64 years",211832,0.033854861298344
"34",2021-10-31,"65-74 years",215011,0.0529849712737576
"35",2021-10-31,"75+ years",162646,0.0556969845154123
"36",2021-11-07,"0-17 years",0,0
"37",2021-11-07,"18-49 years",254722,0.0356641713703744
"38",2021-11-07,"50-64 years",224274,0.0358433341649269
"39",2021-11-07,"65-74 years",177607,0.0437675365121704
"40",2021-11-07,"75+ years",131788,0.0451298783573968
"41",2021-11-14,"0-17 years",0,0
"42",2021-11-14,"18-49 years",337766,0.047291339213283
"43",2021-11-14,"50-64 years",288078,0.0460404506075774
"44",2021-11-14,"65-74 years",166104,0.0409328623580014
"45",2021-11-14,"75+ years",119487,0.0409174869888781
"46",2021-11-21,"0-17 years",0,0
"47",2021-11-21,"18-49 years",296607,0.0415285796972882
"48",2021-11-21,"50-64 years",219293,0.0350472737768503
"49",2021-11-21,"65-74 years",95996,0.0236562096934372
"50",2021-11-21,"75+ years",65974,0.0225923346188644
"51",2021-11-28,"0-17 years",0,0
"52",2021-11-28,"18-49 years",437937,0.0613164949137791
"53",2021-11-28,"50-64 years",323515,0.0517039703771562
"54",2021-11-28,"65-74 years",134704,0.0331949880260091
"55",2021-11-28,"75+ years",90572,0.0310157475838934
"56",2021-12-05,"0-17 years",3260,0.00260241002327002
"57",2021-12-05,"18-49 years",494270,0.0692037985852614
"58",2021-12-05,"50-64 years",314415,0.0502496139163055
"59",2021-12-05,"65-74 years",115730,0.0285192419248874
"60",2021-12-05,"75+ years",74358,0.0254633767482571
"61",2021-12-12,"0-17 years",17339,0.013841468525607
"62",2021-12-12,"18-49 years",492995,0.0690252831115401
"63",2021-12-12,"50-64 years",281340,0.0449635875489826
"64",2021-12-12,"65-74 years",96964,0.0238947530804872
"65",2021-12-12,"75+ years",60658,0.0207719076198362
"66",2021-12-19,"0-17 years",34962,0.0279096500716461
"67",2021-12-19,"18-49 years",415692,0.058201924942854
"68",2021-12-19,"50-64 years",210512,0.033643899701825
"69",2021-12-19,"65-74 years",68968,0.0169957234690714
"70",2021-12-19,"75+ years",43689,0.0149609923176337
"71",2021-12-26,"0-17 years",33359,0.0266299987626578
"72",2021-12-26,"18-49 years",395100,0.0553187950331535
"73",2021-12-26,"50-64 years",194964,0.0311590278058572
"74",2021-12-26,"65-74 years",57438,0.0141543957286934
"75",2021-12-26,"75+ years",34036,0.0116553900186084
"76",2022-01-02,"0-17 years",77335,0.0617353923771738
"77",2022-01-02,"18-49 years",492088,0.0688982921039596
"78",2022-01-02,"50-64 years",225711,0.0360729946302283
"79",2022-01-02,"65-74 years",68722,0.0169351019058335
"80",2022-01-02,"75+ years",40109,0.0137350463702069
"81",2022-01-09,"0-17 years",113189,0.0903571129214447
"82",2022-01-09,"18-49 years",422788,0.059195451061698
"83",2022-01-09,"50-64 years",184730,0.0295234361552697
"84",2022-01-09,"65-74 years",57346,0.0141317242497589
"85",2022-01-09,"75+ years",34413,0.0117844910303904
"86",2022-01-16,"0-17 years",94820,0.0756934105541297
"87",2022-01-16,"18-49 years",332765,0.0465911385198869
"88",2022-01-16,"50-64 years",139957,0.0223678425484928
"89",2022-01-16,"65-74 years",43433,0.0107031559191535
"90",2022-01-16,"75+ years",27120,0.00928705421626097
"91",2022-01-23,"0-17 years",66244,0.0528816103010733
"92",2022-01-23,"18-49 years",291922,0.0408726228389477
"93",2022-01-23,"50-64 years",115990,0.0185374511971511
"94",2022-01-23,"65-74 years",36645,0.0090303950603776
"95",2022-01-23,"75+ years",22755,0.0077922905122057
"96",2022-01-30,"0-17 years",45759,0.0365287362744824
"97",2022-01-30,"18-49 years",203401,0.028478608525787
"98",2022-01-30,"50-64 years",80359,0.0128429264656597
"99",2022-01-30,"65-74 years",26465,0.00652174663045144
"100",2022-01-30,"75+ years",16366,0.00560442217195159
"101",2022-02-06,"0-17 years",33186,0.0264918954086622
"102",2022-02-06,"18-49 years",143184,0.0200474977171021
"103",2022-02-06,"50-64 years",57983,0.00926680776587993
"104",2022-02-06,"65-74 years",20560,0.00506658268362296
"105",2022-02-06,"75+ years",13277,0.0045466157385434
