"","age_group","boosted_rate","week","week_num"
"1","0-17 years",0.0121376073351768,2021-12-26,0
"2","18-49 years",0.0306490476919661,2021-12-26,0
"3","50-64 years",0.0318962848854368,2021-12-26,0
"4","65-74 years",0.0185994791057821,2021-12-26,0
"5","75+ years",0.016502687092839,2021-12-26,0
"6","0-17 years",0.0271320793904956,2022-01-02,1
"7","18-49 years",0.0379646208321221,2022-01-02,1
"8","50-64 years",0.0367939056482006,2022-01-02,1
"9","65-74 years",0.0221990432594173,2022-01-02,1
"10","75+ years",0.0194063098448714,2022-01-02,1
"11","0-17 years",0.0386890255365548,2022-01-09,2
"12","18-49 years",0.0324699995338257,2022-01-09,2
"13","50-64 years",0.0300258225649916,2022-01-09,2
"14","65-74 years",0.0184877959140249,2022-01-09,2
"15","75+ years",0.0166212251107864,2022-01-09,2
"16","0-17 years",0.0316591364087414,2022-01-16,3
"17","18-49 years",0.0254576178267358,2022-01-16,3
"18","50-64 years",0.0226937707053072,2022-01-16,3
"19","65-74 years",0.0139799389019409,2022-01-16,3
"20","75+ years",0.0130800599020442,2022-01-16,3
"21","0-17 years",0.0214795897853597,2022-01-23,4
"22","18-49 years",0.0222408594213912,2022-01-23,4
"23","50-64 years",0.0187645215135991,2022-01-23,4
"24","65-74 years",0.0117772210643368,2022-01-23,4
"25","75+ years",0.0109606975541099,2022-01-23,4
"26","0-17 years",0.0144584092053041,2022-01-30,5
"27","18-49 years",0.0154365419705294,2022-01-30,5
"28","50-64 years",0.0129740214429209,2022-01-30,5
"29","65-74 years",0.00849491268199143,2022-01-30,5
"30","75+ years",0.00787459919704686,2022-01-30,5
"31","0-17 years",0.0102728372204462,2022-02-06,6
"32","18-49 years",0.0108295483664463,2022-02-06,6
"33","50-64 years",0.00934510000738157,2022-02-06,6
"34","65-74 years",0.00659217339724578,2022-02-06,6
"35","75+ years",0.00638202247191011,2022-02-06,6
"36","0-17 years",0.00797484462976047,2022-02-13,7
"37","18-49 years",0.00825772967298495,2022-02-13,7
"38","50-64 years",0.00717709086244671,2022-02-13,7
"39","65-74 years",0.00517165711503285,2022-02-13,7
"40","75+ years",0.0049932181377352,2022-02-13,7
"41","0-17 years",0.0066846448113077,2022-02-20,8
"42","18-49 years",0.00808139543630704,2022-02-20,8
"43","50-64 years",0.00628082402842373,2022-02-20,8
"44","65-74 years",0.00433225661786289,2022-02-20,8
"45","75+ years",0.0040741350502811,2022-02-20,8
"46","0-17 years",0.00496975964998403,2022-02-27,9
"47","18-49 years",0.0074371829724457,2022-02-27,9
"48","50-64 years",0.00546578481013471,2022-02-27,9
"49","65-74 years",0.00382489608451175,2022-02-27,9
"50","75+ years",0.00361702515511473,2022-02-27,9
"51","0-17 years",0.00420882985188986,2022-03-06,10
"52","18-49 years",0.00489092904495891,2022-03-06,10
"53","50-64 years",0.00393453660205326,2022-03-06,10
"54","65-74 years",0.0030764282354852,2022-03-06,10
"55","75+ years",0.00297572953562604,2022-03-06,10
"56","0-17 years",0.00413231032404729,2022-03-13,11
"57","18-49 years",0.00433908435621799,2022-03-13,11
"58","50-64 years",0.00383734111961466,2022-03-13,11
"59","65-74 years",0.00342047343340687,2022-03-13,11
"60","75+ years",0.00342350528982611,2022-03-13,11
"61","0-17 years",0.0037431915734936,2022-03-20,12
"62","18-49 years",0.00382067826923372,2022-03-20,12
"63","50-64 years",0.00353869448565862,2022-03-20,12
"64","65-74 years",0.0035294478421782,2022-03-20,12
"65","75+ years",0.00376215406195745,2022-03-20,12
"66","0-17 years",0.00334313835912937,2022-03-27,13
"67","18-49 years",0.00335459209860782,2022-03-27,13
"68","50-64 years",0.0113980670497134,2022-03-27,13
"69","65-74 years",0.0245035256814111,2022-03-27,13
"70","75+ years",0.026616813559841,2022-03-27,13
"71","0-17 years",0.0024404627741677,2022-04-03,14
"72","18-49 years",0.00286825730358006,2022-04-03,14
"73","50-64 years",0.0176640611158478,2022-04-03,14
"74","65-74 years",0.0442489734430407,2022-04-03,14
"75","75+ years",0.0513997907853947,2022-04-03,14
"76","0-17 years",0.00274660600244901,2022-04-10,15
"77","18-49 years",0.00273448026690769,2022-04-10,15
"78","50-64 years",0.0181794689104792,2022-04-10,15
"79","65-74 years",0.0420952870365636,2022-04-10,15
"80","75+ years",0.049102262815703,2022-04-10,15
"81","0-17 years",0.00209243883640324,2022-04-17,16
"82","18-49 years",0.00228891181739345,2022-04-17,16
"83","50-64 years",0.0157897625576342,2022-04-17,16
"84","65-74 years",0.0342765201952952,2022-04-17,16
"85","75+ years",0.0417203769738983,2022-04-17,16
"86","0-17 years",0.00183082034391911,2022-04-24,17
"87","18-49 years",0.00231644550552647,2022-04-24,17
"88","50-64 years",0.0163375581819205,2022-04-24,17
"89","65-74 years",0.0307993882220075,2022-04-24,17
"90","75+ years",0.0378519498627058,2022-04-24,17
"91","0-17 years",0.00184258410863809,2022-05-01,18
"92","18-49 years",0.00214590184352443,2022-05-01,18
"93","50-64 years",0.0152453762469755,2022-05-01,18
"94","65-74 years",0.0267200517796407,2022-05-01,18
"95","75+ years",0.0312984399782212,2022-05-01,18
"96","0-17 years",0.0020379060264816,2022-05-08,19
"97","18-49 years",0.0021162833813423,2022-05-08,19
"98","50-64 years",0.0155999669141741,2022-05-08,19
"99","65-74 years",0.0258616119104545,2022-05-08,19
"100","75+ years",0.0298431903072381,2022-05-08,19
"101","0-17 years",0.0041721689701261,2022-05-15,20
"102","18-49 years",0.00216670588603078,2022-05-15,20
"103","50-64 years",0.0164387523239,2022-05-15,20
"104","65-74 years",0.0252320220346087,2022-05-15,20
"105","75+ years",0.0280853032029998,2022-05-15,20
"106","0-17 years",0.0123144260820532,2022-05-22,21
"107","18-49 years",0.00215989885496495,2022-05-22,21
"108","50-64 years",0.0160943431058701,2022-05-22,21
"109","65-74 years",0.0227891749530576,2022-05-22,21
"110","75+ years",0.0255960197166556,2022-05-22,21
"111","0-17 years",0.0113657563333367,2022-05-29,22
"112","18-49 years",0.00184372869711322,2022-05-29,22
"113","50-64 years",0.0126407125252606,2022-05-29,22
"114","65-74 years",0.0168784968327664,2022-05-29,22
"115","75+ years",0.0179362885777582,2022-05-29,22
"116","0-17 years",0.0110703404074247,2022-06-05,23
"117","18-49 years",0.00194850419877085,2022-06-05,23
"118","50-64 years",0.0120013350136164,2022-06-05,23
"119","65-74 years",0.015683123381066,2022-06-05,23
"120","75+ years",0.0167307376623157,2022-06-05,23
"121","0-17 years",0.00951952958986641,2022-06-12,24
"122","18-49 years",0.00180343512651934,2022-06-12,24
"123","50-64 years",0.010217057843345,2022-06-12,24
"124","65-74 years",0.0128254097781823,2022-06-12,24
"125","75+ years",0.0134781327529576,2022-06-12,24
"126","0-17 years",0.00818797622173187,2022-06-19,25
"127","18-49 years",0.0016672644714092,2022-06-19,25
"128","50-64 years",0.00879010168367092,2022-06-19,25
"129","65-74 years",0.0108104158100724,2022-06-19,25
"130","75+ years",0.0115814086949089,2022-06-19,25
"131","0-17 years",0.00721041642812413,2022-06-26,26
"132","18-49 years",0.00155485610625822,2022-06-26,26
"133","50-64 years",0.00809805347479911,2022-06-26,26
"134","65-74 years",0.00951165779845929,2022-06-26,26
"135","75+ years",0.0100516379551877,2022-06-26,26
"136","0-17 years",0.0054878162351989,2022-07-03,27
"137","18-49 years",0.00147288910114571,2022-07-03,27
"138","50-64 years",0.00737864765206813,2022-07-03,27
"139","65-74 years",0.00944947838215308,2022-07-03,27
"140","75+ years",0.00975406364600398,2022-07-03,27
"141","0-17 years",0.00654876837079778,2022-07-10,28
"142","18-49 years",0.00182653301949544,2022-07-10,28
"143","50-64 years",0.0109929492484884,2022-07-10,28
"144","65-74 years",0.0143488145400152,2022-07-10,28
"145","75+ years",0.0150340707918987,2022-07-10,28
"146","0-17 years",0.006434448755503,2022-07-17,29
"147","18-49 years",0.00178923711535446,2022-07-17,29
"148","50-64 years",0.0108128787395749,2022-07-17,29
"149","65-74 years",0.0142648740685437,2022-07-17,29
"150","75+ years",0.0152038746052507,2022-07-17,29
"151","0-17 years",0.00639626176139865,2022-07-24,30
"152","18-49 years",0.00163449919784638,2022-07-24,30
"153","50-64 years",0.00807409683364174,2022-07-24,30
"154","65-74 years",0.0106519550089714,2022-07-24,30
"155","75+ years",0.0114253690533606,2022-07-24,30
"156","0-17 years",0.00652460580564342,2022-07-31,31
"157","18-49 years",0.0014615481151452,2022-07-31,31
"158","50-64 years",0.0060425423103293,2022-07-31,31
"159","65-74 years",0.00751117855715428,2022-07-31,31
"160","75+ years",0.00787083508461557,2022-07-31,31
"161","0-17 years",0.00559501625685276,2022-08-07,32
"162","18-49 years",0.001224136972373,2022-08-07,32
"163","50-64 years",0.0045795716530172,2022-08-07,32
"164","65-74 years",0.00554965318178867,2022-08-07,32
"165","75+ years",0.00566781412485828,2022-08-07,32
