"","week","demographic_value","total_cases","perc_cases"
"1",2020-04-19,"0-17 years",184,0.000114873567280012
"2",2020-04-19,"18-49 years",2375,0.000509385235292011
"3",2020-04-19,"50-64 years",1114,0.000780749000409998
"4",2020-04-19,"65-74 years",1111,0.00145430840501246
"5",2020-04-26,"0-17 years",601,0.000375212032256997
"6",2020-04-26,"18-49 years",5877,0.00126048716960469
"7",2020-04-26,"50-64 years",2634,0.00184604386631951
"8",2020-04-26,"65-74 years",2348,0.00307355187665999
"9",2020-05-03,"0-17 years",733,0.000457621330523093
"10",2020-05-03,"18-49 years",6934,0.00148719040905886
"11",2020-05-03,"50-64 years",2956,0.00207171817343982
"12",2020-05-03,"65-74 years",2430,0.00318089057081932
"13",2020-05-10,"0-17 years",852,0.00053191456153571
"14",2020-05-10,"18-49 years",6461,0.00138574231798808
"15",2020-05-10,"50-64 years",2636,0.00184744557009044
"16",2020-05-10,"65-74 years",2199,0.00287850961532168
"17",2020-05-17,"0-17 years",1237,0.000772275014811823
"18",2020-05-17,"18-49 years",7680,0.00164719099243901
"19",2020-05-17,"50-64 years",2996,0.00209975224885849
"20",2020-05-17,"65-74 years",1935,0.00253293138046724
"21",2020-05-24,"0-17 years",1792,0.00111876865524882
"22",2020-05-24,"18-49 years",10407,0.00223207248155114
"23",2020-05-24,"50-64 years",3603,0.00252516934333683
"24",2020-05-24,"65-74 years",2031,0.00265859619314158
"25",2020-05-31,"0-17 years",1693,0.00105696168154924
"26",2020-05-31,"18-49 years",10674,0.00228933810589765
"27",2020-05-31,"50-64 years",3592,0.00251745997259669
"28",2020-05-31,"65-74 years",2249,0.00294396003858957
"29",2020-06-07,"0-17 years",2237,0.00139658788046406
"30",2020-06-07,"18-49 years",11936,0.00256000933408229
"31",2020-06-07,"50-64 years",3801,0.00266393801665925
"32",2020-06-07,"65-74 years",2058,0.00269393942170624
"33",2020-06-14,"0-17 years",2713,0.00169376080451453
"34",2020-06-14,"18-49 years",15165,0.00325255877608562
"35",2020-06-14,"50-64 years",4689,0.00328629449095375
"36",2020-06-14,"65-74 years",2411,0.00315601940997752
"37",2020-06-21,"0-17 years",3649,0.00227811764676503
"38",2020-06-21,"18-49 years",23410,0.00502092983502567
"39",2020-06-21,"50-64 years",6337,0.00444129839820302
"40",2020-06-21,"65-74 years",3160,0.00413646675053048
"41",2020-06-28,"0-17 years",4673,0.00291741402119292
"42",2020-06-28,"18-49 years",32371,0.00694286713753165
"43",2020-06-28,"50-64 years",8486,0.00594742910007114
"44",2020-06-28,"65-74 years",4160,0.00544547521588822
"45",2020-07-05,"0-17 years",5433,0.00339189179908863
"46",2020-07-05,"18-49 years",39016,0.00836807340638025
"47",2020-07-05,"50-64 years",10827,0.00758812336394888
"48",2020-07-05,"65-74 years",5283,0.00691549172248497
"49",2020-07-12,"0-17 years",6261,0.00390882285184868
"50",2020-07-12,"18-49 years",40861,0.00876378530495446
"51",2020-07-12,"50-64 years",11303,0.00792172886143107
"52",2020-07-12,"65-74 years",5390,0.00705555562827825
"53",2020-07-19,"0-17 years",7494,0.0046786006151979
"54",2020-07-19,"18-49 years",42866,0.00919381368253782
"55",2020-07-19,"50-64 years",12495,0.00875714430890748
"56",2020-07-19,"65-74 years",6024,0.00788546699531506
"57",2020-07-26,"0-17 years",6149,0.00383889981089563
"58",2020-07-26,"18-49 years",34077,0.00730876659496667
"59",2020-07-26,"50-64 years",10057,0.00704846741213946
"60",2020-07-26,"65-74 years",5016,0.00656598646223445
"61",2020-08-02,"0-17 years",5548,0.00346368777863864
"62",2020-08-02,"18-49 years",26505,0.00568473922585884
"63",2020-08-02,"50-64 years",8309,0.00582337831634352
"64",2020-08-02,"65-74 years",4623,0.00605154613534886
"65",2020-08-09,"0-17 years",8526,0.00532289149255101
"66",2020-08-09,"18-49 years",39781,0.00853214907164273
"67",2020-08-09,"50-64 years",12638,0.00885736612852923
"68",2020-08-09,"65-74 years",6339,0.00829780466190275
"69",2020-08-16,"0-17 years",5574,0.00347991991314559
"70",2020-08-16,"18-49 years",24660,0.00528902732728462
"71",2020-08-16,"50-64 years",7543,0.00528652577207596
"72",2020-08-16,"65-74 years",4287,0.00561171929098865
"73",2020-08-23,"0-17 years",4473,0.00279255144806248
"74",2020-08-23,"18-49 years",21171,0.00454071360689144
"75",2020-08-23,"50-64 years",6765,0.0047412630051828
"76",2020-08-23,"65-74 years",3829,0.00501219341385481
"77",2020-08-30,"0-17 years",3813,0.002380504956732
"78",2020-08-30,"18-49 years",19279,0.00413492124260828
"79",2020-08-30,"50-64 years",5690,0.00398784722830601
"80",2020-08-30,"65-74 years",3456,0.00452393325627637
"81",2020-09-06,"0-17 years",2697,0.0016837717986641
"82",2020-09-06,"18-49 years",13624,0.00292204818762878
"83",2020-09-06,"50-64 years",4131,0.00289521913886329
"84",2020-09-06,"65-74 years",2313,0.00302773658037247
"85",2020-09-13,"0-17 years",2882,0.00179926967880976
"86",2020-09-13,"18-49 years",13859,0.00297245051617346
"87",2020-09-13,"50-64 years",4422,0.00309916703753412
"88",2020-09-13,"65-74 years",2326,0.00304475369042212
"89",2020-09-20,"0-17 years",2955,0.00184484451800237
"90",2020-09-20,"18-49 years",14127,0.00302993061851378
"91",2020-09-20,"50-64 years",4458,0.00312439770541093
"92",2020-09-20,"65-74 years",2397,0.00313769329146252
"93",2020-09-27,"0-17 years",2724,0.00170062824603671
"94",2020-09-27,"18-49 years",12556,0.00269298569024273
"95",2020-09-27,"50-64 years",3891,0.00272701468635126
"96",2020-09-27,"65-74 years",2247,0.00294134202165885
"97",2020-10-04,"0-17 years",2943,0.00183735276361455
"98",2020-10-04,"18-49 years",13349,0.00286306673933181
"99",2020-10-04,"50-64 years",4339,0.00304099633104038
"100",2020-10-04,"65-74 years",2226,0.00291385284388634
"101",2020-10-11,"0-17 years",2780,0.00173558976651323
"102",2020-10-11,"18-49 years",12041,0.00258252952343204
"103",2020-10-11,"50-64 years",3856,0.00270248487035992
"104",2020-10-11,"65-74 years",2077,0.00271881058254804
"105",2020-10-18,"0-17 years",4132,0.00257966076087506
"106",2020-10-18,"18-49 years",17837,0.00382564397553836
