"","week","demographic_value","total_cases","perc_cases"
"1",2020-04-19,"0-17 years",184,9.53605535887441e-05
"2",2020-04-19,"18-49 years",2375,0.000401969328132386
"3",2020-04-19,"50-64 years",1114,0.00058778742356521
"4",2020-04-19,"65-74 years",1111,0.000996307117273688
"5",2020-04-26,"0-17 years",601,0.000311476590798018
"6",2020-04-26,"18-49 years",5877,0.000994683680603804
"7",2020-04-26,"50-64 years",2634,0.00138979539826819
"8",2020-04-26,"65-74 years",2348,0.00210560676089885
"9",2020-05-03,"0-17 years",733,0.000379887422720377
"10",2020-05-03,"18-49 years",6934,0.00117358118790314
"11",2020-05-03,"50-64 years",2956,0.00155969445606711
"12",2020-05-03,"65-74 years",2430,0.00217914157963552
"13",2020-05-10,"0-17 years",852,0.000441560824226141
"14",2020-05-10,"18-49 years",6461,0.00109352582276351
"15",2020-05-10,"50-64 years",2636,0.00139085067191912
"16",2020-05-10,"65-74 years",2199,0.00197198861465782
"17",2020-05-17,"0-17 years",1237,0.000641092417333024
"18",2020-05-17,"18-49 years",7680,0.00129984186949757
"19",2020-05-17,"50-64 years",2996,0.00158079992908561
"20",2020-05-17,"65-74 years",1935,0.00173524236896902
"21",2020-05-24,"0-17 years",1792,0.000928728869733856
"22",2020-05-24,"18-49 years",10407,0.00176138728331526
"23",2020-05-24,"50-64 years",3603,0.00190107548214134
"24",2020-05-24,"65-74 years",2031,0.00182133191285586
"25",2020-05-31,"0-17 years",1693,0.000877420745792086
"26",2020-05-31,"18-49 years",10674,0.00180657709830951
"27",2020-05-31,"50-64 years",3592,0.00189527147706125
"28",2020-05-31,"65-74 years",2249,0.00201682691876555
"29",2020-06-07,"0-17 years",2237,0.00115935629553272
"30",2020-06-07,"18-49 years",11936,0.0020201709055108
"31",2020-06-07,"50-64 years",3801,0.00200554757358291
"32",2020-06-07,"65-74 years",2058,0.00184554459707403
"33",2020-06-14,"0-17 years",2713,0.00140604990155578
"34",2020-06-14,"18-49 years",15165,0.00256667994152743
"35",2020-06-14,"50-64 years",4689,0.0024740890745936
"36",2020-06-14,"65-74 years",2411,0.00216210302407458
"37",2020-06-21,"0-17 years",3649,0.00189114489155069
"38",2020-06-21,"18-49 years",23410,0.00396214819855965
"39",2020-06-21,"50-64 years",6337,0.00334363456295578
"40",2020-06-21,"65-74 years",3160,0.00283378081960833
"41",2020-06-28,"0-17 years",4673,0.00242184710282718
"42",2020-06-28,"18-49 years",32371,0.00547879962988357
"43",2020-06-28,"50-64 years",8486,0.00447752610087466
"44",2020-06-28,"65-74 years",4160,0.00373054690176286
"45",2020-07-05,"0-17 years",5433,0.00281572765025895
"46",2020-07-05,"18-49 years",39016,0.00660346749743713
"47",2020-07-05,"50-64 years",10827,0.00571272390928235
"48",2020-07-05,"65-74 years",5283,0.0047376152120224
"49",2020-07-12,"0-17 years",6261,0.0032448501414083
"50",2020-07-12,"18-49 years",40861,0.00691573419655471
"51",2020-07-12,"50-64 years",11303,0.00596387903820249
"52",2020-07-12,"65-74 years",5390,0.00483356918281294
"53",2020-07-19,"0-17 years",7494,0.00388386950322852
