"","age_group","immunity_type","waning_group","proportion","num_people"
"1","0-17 years","hybrid/infection-only",1,0.005338,47480
"2","0-17 years","hybrid/infection-only",2,0.021969,195406
"3","0-17 years","hybrid/infection-only",3,0.007864,69947
"4","0-17 years","hybrid/infection-only",4,0.020801,185017
"5","0-17 years","hybrid/infection-only",5,0.055014,489330
"6","0-17 years","hybrid/infection-only",6,0.048568,431995
"7","0-17 years","hybrid/infection-only",7,0.020982,186627
"8","0-17 years","hybrid/infection-only",8,0.020338,180899
"9","0-17 years","hybrid/infection-only",9,0.011859,105482
"10","0-17 years","hybrid/infection-only",10,0.009319,82889
"11","0-17 years","hybrid/infection-only",11,0.008201,72945
"12","0-17 years","hybrid/infection-only",12,0.021923,194997
"13","0-17 years","hybrid/infection-only",13,0.06176,549333
"14","0-17 years","hybrid/infection-only",14,0.060238,535795
"15","0-17 years","hybrid/infection-only",15,0.011813,105072
"16","0-17 years","hybrid/infection-only",16,0.005711,50797
"17","0-17 years","hybrid/infection-only",17,0.007745,68889
"18","0-17 years","hybrid/infection-only",18,0.011965,106424
"19","0-17 years","hybrid/infection-only",19,0.010856,96560
"20","0-17 years","hybrid/infection-only",20,0.004696,41769
"21","0-17 years","hybrid/infection-only",21,0.002306,20511
"22","0-17 years","hybrid/infection-only",22,8.1e-05,720
"23","0-17 years","immune-naive",NA,0.333095,2962760
"24","0-17 years","recovered",1,0.026944,239657
"25","0-17 years","recovered",2,0.024347,216558
"26","0-17 years","recovered",3,0.025619,227872
"27","0-17 years","recovered",4,0.010726,95404
"28","0-17 years","vaccine-only",1,0.005863,52149
"29","0-17 years","vaccine-only",2,0.025018,222526
"30","0-17 years","vaccine-only",3,0.008835,78584
"31","0-17 years","vaccine-only",4,0.010526,93625
"32","0-17 years","vaccine-only",5,0.013843,123129
"33","0-17 years","vaccine-only",6,0.017521,155843
"34","0-17 years","vaccine-only",7,0.020947,186316
"35","0-17 years","vaccine-only",8,0.0269,239266
"36","0-17 years","vaccine-only",9,0.012848,114278
"37","0-17 years","vaccine-only",10,0.006664,59274
"38","0-17 years","vaccine-only",11,0.000868,7721
"39","0-17 years","vaccine-only",12,7.9e-05,703
"40","0-17 years","vaccine-only",13,9e-06,80
"41","0-17 years","vaccine-only",14,1e-06,9
"42","18-49 years","hybrid/infection-only",1,0.019003,333094
"43","18-49 years","hybrid/infection-only",2,0.040481,709571
"44","18-49 years","hybrid/infection-only",3,0.027721,485908
"45","18-49 years","hybrid/infection-only",4,0.014026,245855
"46","18-49 years","hybrid/infection-only",5,0.022375,392200
"47","18-49 years","hybrid/infection-only",6,0.02456,430500
"48","18-49 years","hybrid/infection-only",7,0.010701,187573
"49","18-49 years","hybrid/infection-only",8,0.015408,270079
"50","18-49 years","hybrid/infection-only",9,0.060913,1067714
"51","18-49 years","hybrid/infection-only",10,0.053291,934112
"52","18-49 years","hybrid/infection-only",11,0.012379,216985
"53","18-49 years","hybrid/infection-only",12,0.011308,198212
"54","18-49 years","hybrid/infection-only",13,0.023646,414479
"55","18-49 years","hybrid/infection-only",14,0.023233,407240
"56","18-49 years","hybrid/infection-only",15,0.004855,85101
"57","18-49 years","hybrid/infection-only",16,0.002258,39579
"58","18-49 years","hybrid/infection-only",17,0.003244,56862
"59","18-49 years","hybrid/infection-only",18,0.005018,87958
"60","18-49 years","hybrid/infection-only",19,0.006255,109641
"61","18-49 years","hybrid/infection-only",20,0.002463,43173
"62","18-49 years","hybrid/infection-only",21,0.001472,25802
"63","18-49 years","hybrid/infection-only",22,0.000107,1876
"64","18-49 years","immune-naive",NA,0.147312,2582159
"65","18-49 years","recovered",1,0.029608,518984
"66","18-49 years","recovered",2,0.013508,236775
"67","18-49 years","recovered",3,0.012104,212165
"68","18-49 years","recovered",4,0.004302,75408
"69","18-49 years","vaccine-only",1,0.027384,480001
"70","18-49 years","vaccine-only",2,0.058653,1028099
"71","18-49 years","vaccine-only",3,0.039754,696828
"72","18-49 years","vaccine-only",4,0.013672,239650
"73","18-49 years","vaccine-only",5,0.00734,128659
"74","18-49 years","vaccine-only",6,0.005422,95040
"75","18-49 years","vaccine-only",7,0.007853,137651
"76","18-49 years","vaccine-only",8,0.024393,427573
"77","18-49 years","vaccine-only",9,0.103937,1821860
"78","18-49 years","vaccine-only",10,0.091817,1609415
"79","18-49 years","vaccine-only",11,0.017572,308011
"80","18-49 years","vaccine-only",12,0.007541,132182
"81","18-49 years","vaccine-only",13,0.003106,54444
"82","18-49 years","vaccine-only",14,5e-06,88
"83","50-64 years","hybrid/infection-only",1,0.021724,157520
"84","50-64 years","hybrid/infection-only",2,0.061414,445311
"85","50-64 years","hybrid/infection-only",3,0.054707,396678
"86","50-64 years","hybrid/infection-only",4,0.017006,123310
"87","50-64 years","hybrid/infection-only",5,0.014693,106538
"88","50-64 years","hybrid/infection-only",6,0.014552,105516
"89","50-64 years","hybrid/infection-only",7,0.005926,42969
"90","50-64 years","hybrid/infection-only",8,0.006382,46276
"91","50-64 years","hybrid/infection-only",9,0.040939,296847
"92","50-64 years","hybrid/infection-only",10,0.066686,483538
"93","50-64 years","hybrid/infection-only",11,0.012707,92138
"94","50-64 years","hybrid/infection-only",12,0.009355,67833
"95","50-64 years","hybrid/infection-only",13,0.014945,108366
"96","50-64 years","hybrid/infection-only",14,0.013797,100042
"97","50-64 years","hybrid/infection-only",15,0.002651,19222
"98","50-64 years","hybrid/infection-only",16,0.00129,9354
"99","50-64 years","hybrid/infection-only",17,0.001772,12849
"100","50-64 years","hybrid/infection-only",18,0.002832,20535
"101","50-64 years","hybrid/infection-only",19,0.0032,23203
"102","50-64 years","hybrid/infection-only",20,0.00132,9571
"103","50-64 years","hybrid/infection-only",21,0.001074,7788
"104","50-64 years","hybrid/infection-only",22,7.3e-05,529
"105","50-64 years","immune-naive",NA,0.091657,664601
"106","50-64 years","recovered",1,0.019861,144011
"107","50-64 years","recovered",2,0.013868,100556
"108","50-64 years","recovered",3,0.012103,87758
"109","50-64 years","recovered",4,0.003412,24740
"110","50-64 years","vaccine-only",1,0.034045,246859
"111","50-64 years","vaccine-only",2,0.096322,698427
"112","50-64 years","vaccine-only",3,0.086852,629760
"113","50-64 years","vaccine-only",4,0.021364,154910
"114","50-64 years","vaccine-only",5,0.004236,30715
"115","50-64 years","vaccine-only",6,0.003588,26016
"116","50-64 years","vaccine-only",7,0.004992,36197
"117","50-64 years","vaccine-only",8,0.009738,70610
"118","50-64 years","vaccine-only",9,0.073442,532525
"119","50-64 years","vaccine-only",10,0.123255,893717
