"","week","age_group","total_vaccinated","perc_doses"
"1",2020-12-13,"0-17 years",0,0
"2",2020-12-13,"18-49 years",507,3.78621916294386e-05
"3",2020-12-13,"50-64 years",403,6.45410713433479e-05
"4",2020-12-13,"65-74 years",209,6.67106510097726e-05
"5",2020-12-13,"75+ years",70,3.35083586600678e-05
"6",2020-12-20,"0-17 years",14,4.08045253384444e-06
"7",2020-12-20,"18-49 years",79,5.8996314373287e-06
"8",2020-12-20,"50-64 years",43,6.88651629718105e-06
"9",2020-12-20,"65-74 years",12,3.8302766130013e-06
"10",2020-12-20,"75+ years",6,2.87214502800581e-06
"11",2020-12-27,"0-17 years",4,1.16584358109841e-06
"12",2020-12-27,"18-49 years",260,1.94165085279172e-05
"13",2020-12-27,"50-64 years",151,2.41828828110311e-05
"14",2020-12-27,"65-74 years",41,1.30867784277544e-05
"15",2020-12-27,"75+ years",16,7.65905340801549e-06
"16",2021-01-03,"0-17 years",18,5.24629611494285e-06
"17",2021-01-03,"18-49 years",78130,0.00583466081263913
"18",2021-01-03,"50-64 years",36545,0.00585273809489491
"19",2021-01-03,"65-74 years",7870,0.00251202307869335
"20",2021-01-03,"75+ years",1336,0.000639530959569293
"21",2021-01-10,"0-17 years",72,2.09851844597714e-05
"22",2021-01-10,"18-49 years",116455,0.00869672884853309
"23",2021-01-10,"50-64 years",52236,0.00836567593719881
"24",2021-01-10,"65-74 years",10830,0.00345682464323367
"25",2021-01-10,"75+ years",2168,0.0010378017367861
"26",2021-01-17,"0-17 years",127,3.70155336998746e-05
"27",2021-01-17,"18-49 years",86843,0.00648533788496122
"28",2021-01-17,"50-64 years",42838,0.00686057174741027
"29",2021-01-17,"65-74 years",11094,0.0035410907287197
"30",2021-01-17,"75+ years",8298,0.00397217657373203
"31",2021-01-24,"0-17 years",147,4.28447516053666e-05
"32",2021-01-24,"18-49 years",127074,0.0094897438641406
"33",2021-01-24,"50-64 years",62816,0.0100600792493889
"34",2021-01-24,"65-74 years",17728,0.00565859531627392
"35",2021-01-24,"75+ years",15020,0.00718993638677454
"36",2021-01-31,"0-17 years",411,0.000119790427957862
"37",2021-01-31,"18-49 years",178290,0.0133144973286245
"38",2021-01-31,"50-64 years",86635,0.0138747288234019
"39",2021-01-31,"65-74 years",35125,0.0112115388359726
"40",2021-01-31,"75+ years",47616,0.0227933429422541
"41",2021-02-07,"0-17 years",676,0.000197027565205631
"42",2021-02-07,"18-49 years",239672,0.0178984362765499
"43",2021-02-07,"50-64 years",125160,0.0200445669710507
"44",2021-02-07,"65-74 years",128741,0.0410928034528667
"45",2021-02-07,"75+ years",134547,0.0644064161805162
"46",2021-02-14,"0-17 years",667,0.00019440441714816
"47",2021-02-14,"18-49 years",159845,0.0119370454063267
"48",2021-02-14,"50-64 years",98836,0.0158287377848415
"49",2021-02-14,"65-74 years",222496,0.0710184354405281
"50",2021-02-14,"75+ years",248948,0.119169126738665
"51",2021-02-21,"0-17 years",707,0.000206062852959144
"52",2021-02-21,"18-49 years",155492,0.011611968246242
"53",2021-02-21,"50-64 years",104285,0.016701403536082
"54",2021-02-21,"65-74 years",322178,0.102835904885294
