"","week","age_group","total_vaccinated","perc_doses"
"1",2020-12-13,"0-17 years",0,0
"2",2020-12-13,"18-49 years",507,3.68582815069788e-05
"3",2020-12-13,"50-64 years",403,6.27735145613525e-05
"4",2020-12-13,"65-74 years",209,6.42628467272685e-05
"5",2020-12-13,"75+ years",70,3.22050078787251e-05
"6",2020-12-20,"0-17 years",14,3.666284325587e-06
"7",2020-12-20,"18-49 years",79,5.74320362732017e-06
"8",2020-12-20,"50-64 years",43,6.69791842714183e-06
"9",2020-12-20,"65-74 years",12,3.68973282644604e-06
"10",2020-12-20,"75+ years",6,2.76042924674787e-06
"11",2020-12-27,"0-17 years",4,1.04750980731057e-06
"12",2020-12-27,"18-49 years",260,1.89016828240917e-05
"13",2020-12-27,"50-64 years",151,2.3520597267405e-05
"14",2020-12-27,"65-74 years",41,1.2606587157024e-05
"15",2020-12-27,"75+ years",16,7.36114465799432e-06
"16",2021-01-03,"0-17 years",18,4.71379413289757e-06
"17",2021-01-03,"18-49 years",78130,0.00567995568863956
"18",2021-01-03,"50-64 years",36545,0.00569245183534647
"19",2021-01-03,"65-74 years",7870,0.00241984977867753
"20",2021-01-03,"75+ years",1336,0.000614655578942526
"21",2021-01-10,"0-17 years",72,1.88551765315903e-05
"22",2021-01-10,"18-49 years",116455,0.00846613643569077
"23",2021-01-10,"50-64 years",52236,0.00813656899907397
"24",2021-01-10,"65-74 years",10830,0.00332998387586755
"25",2021-01-10,"75+ years",2168,0.00099743510115823
"26",2021-01-17,"0-17 years",127,3.32584363821106e-05
"27",2021-01-17,"18-49 years",86843,0.00631338015958691
"28",2021-01-17,"50-64 years",42838,0.00667268440888144
"29",2021-01-17,"65-74 years",11094,0.00341115799804936
"30",2021-01-17,"75+ years",8298,0.0038176736482523
"31",2021-01-24,"0-17 years",147,3.84959854186635e-05
"32",2021-01-24,"18-49 years",127074,0.00923812478149473
"33",2021-01-24,"50-64 years",62816,0.0097845684632405
"34",2021-01-24,"65-74 years",17728,0.00545096529560295
"35",2021-01-24,"75+ years",15020,0.00691027454769217
"36",2021-01-31,"0-17 years",411,0.000107631632701161
"37",2021-01-31,"18-49 years",178290,0.0129614655027204
"38",2021-01-31,"50-64 years",86635,0.0134947479752426
"39",2021-01-31,"65-74 years",35125,0.0108001554607431
"40",2021-01-31,"75+ years",47616,0.0219067665021911
"41",2021-02-07,"0-17 years",676,0.000177029157435486
"42",2021-02-07,"18-49 years",239672,0.0174238620223681
"43",2021-02-07,"50-64 years",125160,0.0194956155893273
"44",2021-02-07,"65-74 years",128741,0.0395849911507908
"45",2021-02-07,"75+ years",134547,0.0619012456436976
"46",2021-02-14,"0-17 years",667,0.000174672260369038
"47",2021-02-14,"18-49 years",159845,0.0116205365039113
"48",2021-02-14,"50-64 years",98836,0.0153952433875579
"49",2021-02-14,"65-74 years",222496,0.0684125662460781
"50",2021-02-14,"75+ years",248948,0.114533890019898
