"","age_group","primary_series_rate","week","week_num"
"1","0-17 years",0.00889591834004318,2021-12-26,0
"2","18-49 years",0.00330946630591335,2021-12-26,0
"3","50-64 years",0.00259965541119308,2021-12-26,0
"4","65-74 years",0.00191072646582041,2021-12-26,0
"5","75+ years",0.00154072394036986,2021-12-26,0
"6","0-17 years",0.0114581352974223,2022-01-02,1
"7","18-49 years",0.00403057739204927,2022-01-02,1
"8","50-64 years",0.00303835588137903,2022-01-02,1
"9","65-74 years",0.0022346434698391,2022-01-02,1
"10","75+ years",0.00177446363267379,2022-01-02,1
"11","0-17 years",0.00846509712983357,2022-01-09,2
"12","18-49 years",0.00337330517501035,2022-01-09,2
"13","50-64 years",0.00246918994599474,2022-01-09,2
"14","65-74 years",0.00180442735784709,2022-01-09,2
"15","75+ years",0.00147790384854647,2022-01-09,2
"16","0-17 years",0.00780447462691299,2022-01-16,3
"17","18-49 years",0.00287828295235201,2022-01-16,3
"18","50-64 years",0.00204497031496928,2022-01-16,3
"19","65-74 years",0.00147017571833099,2022-01-16,3
"20","75+ years",0.00120745111556653,2022-01-16,3
"21","0-17 years",0.0100078238121134,2022-01-23,4
"22","18-49 years",0.00308919653506123,2022-01-23,4
"23","50-64 years",0.00195105172955695,2022-01-23,4
"24","65-74 years",0.00138956556145122,2022-01-23,4
"25","75+ years",0.00108874561738077,2022-01-23,4
"26","0-17 years",0.0090871570870595,2022-01-30,5
"27","18-49 years",0.00291576475485133,2022-01-30,5
"28","50-64 years",0.00172294403459073,2022-01-30,5
"29","65-74 years",0.00114537288841251,2022-01-30,5
"30","75+ years",0.000927616161080506,2022-01-30,5
"31","0-17 years",0.00737410312569108,2022-02-06,6
"32","18-49 years",0.00256798839558831,2022-02-06,6
"33","50-64 years",0.00148987148048376,2022-02-06,6
"34","65-74 years",0.00102047143654386,2022-02-06,6
"35","75+ years",0.000835017714042126,2022-02-06,6
"36","0-17 years",0.00583047702543588,2022-02-13,7
"37","18-49 years",0.00218706602833122,2022-02-13,7
"38","50-64 years",0.00120521955641466,2022-02-13,7
