"","age_group","severity_label","severity_coeff","immunity_type","waning_group"
"1","0-17 years","severity_0",1,"immune-naive",NA
"2","18-49 years","severity_0",1,"immune-naive",NA
"3","50-64 years","severity_0",1,"immune-naive",NA
"4","65-74 years","severity_0",1,"immune-naive",NA
"5","75+ years","severity_0",1,"immune-naive",NA
"6","0-17 years","severity_V_1",0.452226927843306,"vaccine-only",1
"7","18-49 years","severity_V_1",0.452226927843306,"vaccine-only",1
"8","50-64 years","severity_V_1",0.465157519524116,"vaccine-only",1
"9","65-74 years","severity_V_1",0.536244611832968,"vaccine-only",1
"10","75+ years","severity_V_1",0.536244611832968,"vaccine-only",1
"11","0-17 years","severity_1",0.165910583131722,"hybrid/infection-only",1
"12","18-49 years","severity_1",0.165910583131722,"hybrid/infection-only",1
"13","50-64 years","severity_1",0.170654489064597,"hybrid/infection-only",1
"14","65-74 years","severity_1",0.196734539172067,"hybrid/infection-only",1
"15","75+ years","severity_1",0.196734539172067,"hybrid/infection-only",1
"16","0-17 years","severity_V_2",0.415287127195327,"vaccine-only",2
"17","18-49 years","severity_V_2",0.415287127195327,"vaccine-only",2
"18","50-64 years","severity_V_2",0.427161493672506,"vaccine-only",2
"19","65-74 years","severity_V_2",0.49244189279956,"vaccine-only",2
"20","75+ years","severity_V_2",0.49244189279956,"vaccine-only",2
"21","0-17 years","severity_2",0.152358307738693,"hybrid/infection-only",2
"22","18-49 years","severity_2",0.152358307738693,"hybrid/infection-only",2
"23","50-64 years","severity_2",0.156714711449422,"hybrid/infection-only",2
"24","65-74 years","severity_2",0.180664433191765,"hybrid/infection-only",2
"25","75+ years","severity_2",0.180664433191765,"hybrid/infection-only",2
"26","0-17 years","severity_V_3",0.396607955948046,"vaccine-only",3
"27","18-49 years","severity_V_3",0.396607955948046,"vaccine-only",3
"28","50-64 years","severity_V_3",0.407948226108831,"vaccine-only",3
"29","65-74 years","severity_V_3",0.470292382635205,"vaccine-only",3
"30","75+ years","severity_V_3",0.470292382635205,"vaccine-only",3
"31","0-17 years","severity_3",0.145505393851337,"hybrid/infection-only",3
"32","18-49 years","severity_3",0.145505393851337,"hybrid/infection-only",3
"33","50-64 years","severity_3",0.149665851177972,"hybrid/infection-only",3
"34","65-74 years","severity_3",0.172538340026602,"hybrid/infection-only",3
"35","75+ years","severity_3",0.172538340026602,"hybrid/infection-only",3
"36","0-17 years","severity_V_4",0.384874659395536,"vaccine-only",4
"37","18-49 years","severity_V_4",0.384874659395536,"vaccine-only",4
"38","50-64 years","severity_V_4",0.395879437666189,"vaccine-only",4
"39","65-74 years","severity_V_4",0.456379197311791,"vaccine-only",4
"40","75+ years","severity_V_4",0.456379197311791,"vaccine-only",4
"41","0-17 years","severity_4",0.141200745115872,"hybrid/infection-only",4
"42","18-49 years","severity_4",0.141200745115872,"hybrid/infection-only",4
"43","50-64 years","severity_4",0.145238118982189,"hybrid/infection-only",4
"44","65-74 years","severity_4",0.16743394542269,"hybrid/infection-only",4
"45","75+ years","severity_4",0.16743394542269,"hybrid/infection-only",4
"46","0-17 years","severity_V_5",0.377237966173792,"vaccine-only",5
"47","18-49 years","severity_V_5",0.377237966173792,"vaccine-only",5
"48","50-64 years","severity_V_5",0.388024387341492,"vaccine-only",5
"49","65-74 years","severity_V_5",0.447323709148114,"vaccine-only",5
"50","75+ years","severity_V_5",0.447323709148114,"vaccine-only",5
"51","0-17 years","severity_5",0.138399036178149,"hybrid/infection-only",5
"52","18-49 years","severity_5",0.138399036178149,"hybrid/infection-only",5
"53","50-64 years","severity_5",0.142356300364896,"hybrid/infection-only",5
"54","65-74 years","severity_5",0.164111716627196,"hybrid/infection-only",5
"55","75+ years","severity_5",0.164111716627196,"hybrid/infection-only",5
"56","0-17 years","severity_V_6",0.370469215862735,"vaccine-only",6
"57","18-49 years","severity_V_6",0.370469215862735,"vaccine-only",6
"58","50-64 years","severity_V_6",0.38106209714797,"vaccine-only",6
"59","65-74 years","severity_V_6",0.43929741602033,"vaccine-only",6
"60","75+ years","severity_V_6",0.43929741602033,"vaccine-only",6
"61","0-17 years","severity_6",0.135915753467549,"hybrid/infection-only",6
"62","18-49 years","severity_6",0.135915753467549,"hybrid/infection-only",6
"63","50-64 years","severity_6",0.139802012783111,"hybrid/infection-only",6
"64","65-74 years","severity_6",0.161167073371282,"hybrid/infection-only",6
"65","75+ years","severity_6",0.161167073371282,"hybrid/infection-only",6
"66","0-17 years","severity_V_7",0.364950843784363,"vaccine-only",7
"67","18-49 years","severity_V_7",0.364950843784363,"vaccine-only",7
"68","50-64 years","severity_V_7",0.375385937437561,"vaccine-only",7
"69","65-74 years","severity_V_7",0.432753804592261,"vaccine-only",7
"70","75+ years","severity_V_7",0.432753804592261,"vaccine-only",7
"71","0-17 years","severity_7",0.133891202798206,"hybrid/infection-only",7
"72","18-49 years","severity_7",0.133891202798206,"hybrid/infection-only",7
"73","50-64 years","severity_7",0.137719573835935,"hybrid/infection-only",7
"74","65-74 years","severity_7",0.158766388403238,"hybrid/infection-only",7
"75","75+ years","severity_7",0.158766388403238,"hybrid/infection-only",7
"76","0-17 years","severity_V_8",0.360793311218339,"vaccine-only",8
"77","18-49 years","severity_V_8",0.360793311218339,"vaccine-only",8
"78","50-64 years","severity_V_8",0.371109527925692,"vaccine-only",8
"79","65-74 years","severity_V_8",0.427823858364417,"vaccine-only",8
"80","75+ years","severity_V_8",0.427823858364417,"vaccine-only",8
"81","0-17 years","severity_8",0.13236590961032,"hybrid/infection-only",8
"82","18-49 years","severity_8",0.13236590961032,"hybrid/infection-only",8
"83","50-64 years","severity_8",0.136150667713498,"hybrid/infection-only",8
"84","65-74 years","severity_8",0.156957716245278,"hybrid/infection-only",8
"85","75+ years","severity_8",0.156957716245278,"hybrid/infection-only",8
"86","0-17 years","severity_V_9",0.360458624091238,"vaccine-only",9
"87","18-49 years","severity_V_9",0.360458624091238,"vaccine-only",9
"88","50-64 years","severity_V_9",0.366937407367022,"vaccine-only",9
"89","65-74 years","severity_V_9",0.423014138913267,"vaccine-only",9
"90","75+ years","severity_V_9",0.423014138913267,"vaccine-only",9
"91","0-17 years","severity_9",0.130877813802489,"hybrid/infection-only",9
"92","18-49 years","severity_9",0.130877813802489,"hybrid/infection-only",9
"93","50-64 years","severity_9",0.134620022561325,"hybrid/infection-only",9
"94","65-74 years","severity_9",0.155193152240552,"hybrid/infection-only",9
"95","75+ years","severity_9",0.155193152240552,"hybrid/infection-only",9
"96","0-17 years","severity_V_10",0.372811205751124,"vaccine-only",10
"97","18-49 years","severity_V_10",0.372811205751124,"vaccine-only",10
"98","50-64 years","severity_V_10",0.364266512561792,"vaccine-only",10
"99","65-74 years","severity_V_10",0.418797824220191,"vaccine-only",10
"100","75+ years","severity_V_10",0.418797824220191,"vaccine-only",10
"101","0-17 years","severity_10",0.129573313553985,"hybrid/infection-only",10
"102","18-49 years","severity_10",0.129573313553985,"hybrid/infection-only",10
"103","50-64 years","severity_10",0.133278222543563,"hybrid/infection-only",10
"104","65-74 years","severity_10",0.153646293382033,"hybrid/infection-only",10
"105","75+ years","severity_10",0.153646293382033,"hybrid/infection-only",10
"106","0-17 years","severity_V_11",0.384392556464356,"vaccine-only",11
"107","18-49 years","severity_V_11",0.384392556464356,"vaccine-only",11
"108","50-64 years","severity_V_11",0.372814923852699,"vaccine-only",11
"109","65-74 years","severity_V_11",0.415449955792156,"vaccine-only",11
"110","75+ years","severity_V_11",0.415449955792156,"vaccine-only",11
"111","0-17 years","severity_11",0.12853750491202,"hybrid/infection-only",11
"112","18-49 years","severity_11",0.12853750491202,"hybrid/infection-only",11
"113","50-64 years","severity_11",0.132212796871333,"hybrid/infection-only",11
"114","65-74 years","severity_11",0.152418045418577,"hybrid/infection-only",11
"115","75+ years","severity_11",0.152418045418577,"hybrid/infection-only",11
"116","0-17 years","severity_V_12",0.396621619324304,"vaccine-only",12
"117","18-49 years","severity_V_12",0.396621619324304,"vaccine-only",12
"118","50-64 years","severity_V_12",0.384675655966913,"vaccine-only",12
"119","65-74 years","severity_V_12",0.412047908743487,"vaccine-only",12
"120","75+ years","severity_V_12",0.412047908743487,"vaccine-only",12
"121","0-17 years","severity_12",0.127484933758425,"hybrid/infection-only",12
"122","18-49 years","severity_12",0.127484933758425,"hybrid/infection-only",12
"123","50-64 years","severity_12",0.13113012939449,"hybrid/infection-only",12
"124","65-74 years","severity_12",0.151169920694165,"hybrid/infection-only",12
"125","75+ years","severity_12",0.151169920694165,"hybrid/infection-only",12
"126","0-17 years","severity_V_13",0.408161272568933,"vaccine-only",13
"127","18-49 years","severity_V_13",0.408161272568933,"vaccine-only",13
"128","50-64 years","severity_V_13",0.395867742997042,"vaccine-only",13
"129","65-74 years","severity_V_13",0.408961133401245,"vaccine-only",13
"130","75+ years","severity_V_13",0.408961133401245,"vaccine-only",13
"131","0-17 years","severity_13",0.126529905613196,"hybrid/infection-only",13
"132","18-49 years","severity_13",0.126529905613196,"hybrid/infection-only",13
"133","50-64 years","severity_13",0.130147793987731,"hybrid/infection-only",13
"134","65-74 years","severity_13",0.15003746115782,"hybrid/infection-only",13
"135","75+ years","severity_13",0.15003746115782,"hybrid/infection-only",13
"136","0-17 years","severity_V_14",0.417884305307918,"vaccine-only",14
"137","18-49 years","severity_V_14",0.417884305307918,"vaccine-only",14
"138","50-64 years","severity_V_14",0.405297924849531,"vaccine-only",14
"139","65-74 years","severity_V_14",0.40644268038504,"vaccine-only",14
"140","75+ years","severity_V_14",0.40644268038504,"vaccine-only",14
"141","0-17 years","severity_14",0.12575071268652,"hybrid/infection-only",14
"142","18-49 years","severity_14",0.12575071268652,"hybrid/infection-only",14
"143","50-64 years","severity_14",0.129346321482031,"hybrid/infection-only",14
"144","65-74 years","severity_14",0.149113504659915,"hybrid/infection-only",14
"145","75+ years","severity_14",0.149113504659915,"hybrid/infection-only",14
"146","0-17 years","severity_V_15",0.428296580553121,"vaccine-only",15
"147","18-49 years","severity_V_15",0.428296580553121,"vaccine-only",15
"148","50-64 years","severity_V_15",0.415396589710211,"vaccine-only",15
"149","65-74 years","severity_V_15",0.403824990209946,"vaccine-only",15
"150","75+ years","severity_V_15",0.403824990209946,"vaccine-only",15
"151","0-17 years","severity_15",0.124940816430549,"hybrid/infection-only",15
"152","18-49 years","severity_15",0.124940816430549,"hybrid/infection-only",15
"153","50-64 years","severity_15",0.128513267742184,"hybrid/infection-only",15
"154","65-74 years","severity_15",0.148153140566872,"hybrid/infection-only",15
"155","75+ years","severity_15",0.148153140566872,"hybrid/infection-only",15
"156","0-17 years","severity_V_16",0.438240686278913,"vaccine-only",16
"157","18-49 years","severity_V_16",0.438240686278913,"vaccine-only",16
"158","50-64 years","severity_V_16",0.425041185987111,"vaccine-only",16
"159","65-74 years","severity_V_16",0.401401577059562,"vaccine-only",16
"160","75+ years","severity_V_16",0.401401577059562,"vaccine-only",16
"161","0-17 years","severity_16",0.124191028218086,"hybrid/infection-only",16
"162","18-49 years","severity_16",0.124191028218086,"hybrid/infection-only",16
"163","50-64 years","severity_16",0.127742040724056,"hybrid/infection-only",16
"164","65-74 years","severity_16",0.147264051783798,"hybrid/infection-only",16
"165","75+ years","severity_16",0.147264051783798,"hybrid/infection-only",16
"166","0-17 years","severity_V_17",0.446706826722089,"vaccine-only",17
"167","18-49 years","severity_V_17",0.446706826722089,"vaccine-only",17
"168","50-64 years","severity_V_17",0.433252332253004,"vaccine-only",17
"169","65-74 years","severity_V_17",0.404543501470757,"vaccine-only",17
"170","75+ years","severity_V_17",0.404543501470757,"vaccine-only",17
"171","0-17 years","severity_17",0.123569042217465,"hybrid/infection-only",17
"172","18-49 years","severity_17",0.123569042217465,"hybrid/infection-only",17
"173","50-64 years","severity_17",0.127102270185386,"hybrid/infection-only",17
"174","65-74 years","severity_17",0.146526509145507,"hybrid/infection-only",17
"175","75+ years","severity_17",0.146526509145507,"hybrid/infection-only",17
"176","0-17 years","severity_V_18",0.455854618106002,"vaccine-only",18
"177","18-49 years","severity_V_18",0.455854618106002,"vaccine-only",18
"178","50-64 years","severity_V_18",0.442124598614203,"vaccine-only",18
"179","65-74 years","severity_V_18",0.412827860105542,"vaccine-only",18
"180","75+ years","severity_V_18",0.412827860105542,"vaccine-only",18
"181","0-17 years","severity_18",0.122913188200398,"hybrid/infection-only",18
"182","18-49 years","severity_18",0.122913188200398,"hybrid/infection-only",18
"183","50-64 years","severity_18",0.126427663237048,"hybrid/infection-only",18
"184","65-74 years","severity_18",0.145748806268594,"hybrid/infection-only",18
"185","75+ years","severity_18",0.145748806268594,"hybrid/infection-only",18
"186","0-17 years","severity_V_19",0.464660298997665,"vaccine-only",19
"187","18-49 years","severity_V_19",0.464660298997665,"vaccine-only",19
"188","50-64 years","severity_V_19",0.450665058609818,"vaccine-only",19
"189","65-74 years","severity_V_19",0.420802399037233,"vaccine-only",19
"190","75+ years","severity_V_19",0.420802399037233,"vaccine-only",19
"191","0-17 years","severity_19",0.122297929198103,"hybrid/infection-only",19
"192","18-49 years","severity_19",0.122297929198103,"hybrid/infection-only",19
"193","50-64 years","severity_19",0.125794812042765,"hybrid/infection-only",19
"194","65-74 years","severity_19",0.145019240414486,"hybrid/infection-only",19
"195","75+ years","severity_19",0.145019240414486,"hybrid/infection-only",19
"196","0-17 years","severity_V_20",0.47220992475957,"vaccine-only",20
"197","18-49 years","severity_V_20",0.47220992475957,"vaccine-only",20
"198","50-64 years","severity_V_20",0.457987294970038,"vaccine-only",20
"199","65-74 years","severity_V_20",0.427639438137187,"vaccine-only",20
"200","75+ years","severity_V_20",0.427639438137187,"vaccine-only",20
"201","0-17 years","severity_20",0.121781787243587,"hybrid/infection-only",20
"202","18-49 years","severity_20",0.121781787243587,"hybrid/infection-only",20
"203","50-64 years","severity_20",0.125263911964722,"hybrid/infection-only",20
"204","65-74 years","severity_20",0.144407206223222,"hybrid/infection-only",20
"205","75+ years","severity_20",0.144407206223222,"hybrid/infection-only",20
"206","0-17 years","severity_V_21",0.480418116574748,"vaccine-only",21
"207","18-49 years","severity_V_21",0.480418116574748,"vaccine-only",21
"208","50-64 years","severity_V_21",0.465948261838625,"vaccine-only",21
