"","variant_group","week","weeks_since","share","total_shares_by_week","rescaled_share"
"1","BA.1.1",2022-01-08,1,0.935124784708023,0.938351806509672,0.99656096809399
"2","BA.1.1",2022-01-22,3,0.981819897890091,0.989631502256089,0.992106552440793
"3","BA.1.1",2022-02-05,5,0.982219278812408,0.997074055005213,0.98510163200192
"4","BA.1.1",2022-02-19,7,0.964858546853065,0.999187271470871,0.965643352754813
"5","BA.1.1",2022-03-05,9,0.873686835169792,0.99886242172215,0.874681854247213
"6","BA.1.1",2022-03-19,11,0.650836892426013,0.99934187970939,0.65126550346842
"7","BA.1.1",2022-04-02,13,0.300144497305155,0.996100577118341,0.301319469338583
"8","BA.1.1",2022-04-16,15,0.089315004646778,0.995049234865292,0.0897593822670185
"9","BA.1.1",2022-04-30,17,0.022849420784041,0.991995805306943,0.0230337877053532
"10","BA.1.1",2022-05-14,19,0.00492292016861,0.993582276227243,0.00495471818126924
"11","BA.1.1",2022-05-28,21,0.001792380324332,0.993705328408396,0.00180373423900507
"12","BA.1.1",2022-06-11,23,0.000150600622874,0.995614262472372,0.000151264027194648
"13","BA.1.1",2022-06-25,25,0.000624197695288,0.993859748516115,0.000628054105440893
"14","BA.1.1",2022-07-09,27,0.000453756343632,0.99108401794365,0.000457838422794342
"15","BA.1.1",2022-07-23,29,0.000634870491922,0.985353509895504,0.000644307332897538
"16","BA.1.1",2022-08-06,31,7.6358628576e-05,0.974997435652767,7.83167481100885e-05
"17","BA.1.1",2022-08-20,33,0.000309763614495,0.9640529182725,0.000321313911947977
"18","BA.1.1",2022-09-03,35,0.000121705837955,0.94134549037699,0.00012928923461062
"19","BA.1.1",2022-09-17,37,0.00019945341046,0.919583760522075,0.000216895316144735
"20","BA.1.1",2022-10-01,39,0.000599926512223,0.895386042131578,0.000670019951165198
"21","BA.1.1",2022-10-15,41,0.000501638176502,0.856501218848279,0.000585682968643691
"22","BA.1.1",2022-11-12,45,0.000728733240976,0.794265067845116,0.000917493756779576
"23","BA.1.1",2022-12-10,49,0.000226866541198,0.806175656267441,0.000281410805987844
"24","BA.1.1",2022-12-24,51,0.000101890902442,0.823216127253545,0.000123771752118042
"25","BA.1.1",2023-01-07,53,0.00056336337002,0.842143650414072,0.000668963507286436
"26","BA.1.1",2023-02-04,57,0.000247959775152,0.860423441248713,0.000288183426049088
"27","BA.1.1",2023-02-18,59,0.000903812644538,0.878088986093644,0.0010292950473719
"28","BA.1.1",2023-04-29,69,0.000689162930939,0.862981262675021,0.000798583886749489
"29","BA.1.1",2023-05-13,71,0.000663518963847,0.829652060259833,0.000799755699563016
"30","BA.1.1",2023-09-02,87,0.000283519650111,0.562223020766396,0.000504283246396633
"31","BA.1.1",2023-09-16,89,0.000821193971206,0.532886361295823,0.0015410301911445
"32","BA.1.1",2024-03-30,117,0.001214176183566,0.735361811704933,0.00165112760037258
"33","BA.1.1",2024-06-08,127,0.001312130480073,0.676575811463407,0.00193936948061284
"34","BA.2",2022-01-08,1,0.003177592734573,0.938351806509672,0.00338635542930587
"35","BA.2",2022-01-22,3,0.007712069898844,0.989631502256089,0.00779287025651729
"36","BA.2",2022-02-05,5,0.014701439067721,0.997074055005213,0.0147445809004068
"37","BA.2",2022-02-19,7,0.034216102212667,0.999187271470871,0.034243933234156
"38","BA.2",2022-03-05,9,0.123722292832098,0.99886242172215,0.123863196914333
"39","BA.2",2022-03-19,11,0.348342412617058,0.99934187970939,0.348571814801113
"40","BA.2",2022-04-02,13,0.695293643511832,0.996100577118341,0.698015501128686
"41","BA.2",2022-04-16,15,0.905143611133099,0.995049234865292,0.909647060083048
"42","BA.2",2022-04-30,17,0.964923426508904,0.991995805306943,0.972709180166682
"43","BA.2",2022-05-14,19,0.97307139635086,0.993582276227243,0.979356636720348
"44","BA.2",2022-05-28,21,0.923685997724533,0.993705328408396,0.929537128681787
"45","BA.2",2022-06-11,23,0.780307874083519,0.995614262472372,0.783745174708335
"46","BA.2",2022-06-25,25,0.510387264192104,0.993859748516115,0.513540532207023
