"","variant_group","week","weeks_since","share","total_shares_by_week","rescaled_share"
"1","BA.1.1",2022-01-08,1,0.523308455944061,0.526576258213026,0.993794246857892
"2","BA.1.1",2022-01-15,2,0.590935587882995,0.596429867619918,0.99078805399393
"3","BA.1.1",2022-01-22,3,0.65856271982193,0.666360856799657,0.98829742638969
"4","BA.1.1",2022-01-29,4,0.69470077753067,0.705982065895114,0.984020432091089
"5","BA.1.1",2022-02-05,5,0.73083883523941,0.74571483667023,0.980051353816099
"6","BA.1.1",2022-02-12,6,0.745436042547226,0.770129222853938,0.967936315654658
"7","BA.1.1",2022-02-19,7,0.760033249855042,0.794656949794445,0.956429375029868
"8","BA.1.1",2022-02-26,8,0.742913395166398,0.822021596433843,0.90376384074258
"9","BA.1.1",2022-03-05,9,0.725793540477753,0.849432913266356,0.854444805637248
"10","BA.1.1",2022-03-12,10,0.642396718263627,0.876859469954071,0.732610800562232
"11","BA.1.1",2022-03-19,11,0.5589998960495,0.905735361695407,0.617177952512677
"12","BA.1.1",2022-03-26,12,0.4120182543993,0.933969610774512,0.441147388144274
"13","BA.1.1",2022-04-02,13,0.2650366127491,0.960854876582744,0.275834175595482
"14","BA.1.1",2022-04-09,14,0.172089707106352,0.973340780776199,0.176803140796297
"15","BA.1.1",2022-04-16,15,0.079142801463604,0.985664921325225,0.0802938196858996
"16","BA.1.1",2022-04-23,16,0.049826368689537,0.987615158908739,0.0504511987691567
"17","BA.1.1",2022-04-30,17,0.02050993591547,0.989804092154372,0.0207212074369473
"18","BA.1.1",2022-05-07,18,0.0124095117207615,0.991603000635224,0.0125145967819903
"19","BA.1.1",2022-05-14,19,0.004309087526053,0.993163213453955,0.00433875063804181
"20","BA.1.1",2022-05-21,20,0.0028654152411035,0.99319192141411,0.00288505693544478
"21","BA.1.1",2022-05-28,21,0.001421742956154,0.99329901766032,0.00143133430203411
"22","BA.1.1",2022-06-04,22,0.000787795870565,0.994387164129876,0.000792242598238232
"23","BA.1.1",2022-06-11,23,0.000153848784976,0.995565669494682,0.000154534039983609
"24","BA.1.1",2022-06-18,24,0.000313173804898,0.994640659366269,0.000314861253608451
"25","BA.1.1",2022-06-25,25,0.00047249882482,0.993715649237855,0.00047548695160672
"26","BA.1.1",2022-07-02,26,0.0004350968520155,0.992376552603673,0.000438439270732413
"27","BA.1.1",2022-07-09,27,0.000397694879211,0.99103745596949,0.000401291471695136
"28","BA.1.1",2022-07-16,28,0.0003876004921035,0.988035030066384,0.000392294281385406
"29","BA.1.1",2022-07-23,29,0.000377506104996,0.985032604163279,0.000383242243353627
"30","BA.1.1",2022-07-30,30,0.000227239088417,0.980075019982905,0.000231858871804491
"31","BA.1.1",2022-08-06,31,7.6972071838e-05,0.975117435802531,7.89362070781262e-05
"32","BA.1.1",2022-08-13,32,9.2077694717e-05,0.969433929116349,9.49808872492527e-05
"33","BA.1.1",2022-08-20,33,0.000107183317596,0.963750422430167,0.00011121480738315
"34","BA.1.1",2022-09-24,38,0.0003639618335005,0.907580173789029,0.000401024442811489
"35","BA.1.1",2022-10-01,39,0.000620740349405,0.896167070080993,0.000692661413400181
"36","BA.1.1",2022-10-08,40,0.0003939127127525,0.878774979217269,0.000448252080530741
"37","BA.1.1",2022-10-15,41,0.0001670850761,0.861382888353545,0.000193973061642039
"38","BA.1.1",2022-11-05,44,0.0001651916099945,0.833574615156977,0.000198172553471283
"39","BA.1.1",2022-11-12,45,0.000163298143889,0.822133089299314,0.000198627382858626
"40","BA.1.1",2023-01-28,56,0.000205990530958,0.90132517033635,0.000228541860071576
"41","BA.1.1",2023-02-04,57,0.000248682918027,0.903213714831509,0.000275331202287369
"42","BA.2",2022-01-08,1,0.00321901377174,0.526576258213026,0.00611310085012939
"43","BA.2",2022-01-15,2,0.005459047257318,0.596429867619918,0.00915287371355595
"44","BA.2",2022-01-22,3,0.007699080742896,0.666360856799657,0.0115539210689423
"45","BA.2",2022-01-29,4,0.0111904428340495,0.705982065895114,0.0158508882514758
"46","BA.2",2022-02-05,5,0.014681804925203,0.74571483667023,0.0196882296063201
"47","BA.2",2022-02-12,6,0.024606693536043,0.770129222853938,0.0319513827106258
"48","BA.2",2022-02-19,7,0.034531582146883,0.794656949794445,0.0434547035117674
"49","BA.2",2022-02-26,8,0.0783454569755125,0.822021596433843,0.0953082708719537
"50","BA.2",2022-03-05,9,0.122159331804142,0.849432913266356,0.143812807222642
"51","BA.2",2022-03-12,10,0.23436651690281,0.876859469954071,0.267279450052682
"52","BA.2",2022-03-19,11,0.346573702001479,0.905735361695407,0.382643448250428
"53","BA.2",2022-03-26,12,0.520864883408649,0.933969610774512,0.557689326718791
"54","BA.2",2022-04-02,13,0.695156064815819,0.960854876582744,0.723476647470557
"55","BA.2",2022-04-09,14,0.800544249359518,0.973340780776199,0.822470675400159
"56","BA.2",2022-04-16,15,0.905932433903217,0.985664921325225,0.919107918221531
"57","BA.2",2022-04-23,16,0.93550043925643,0.987615158908739,0.947231754006396
"58","BA.2",2022-04-30,17,0.965068444609642,0.989804092154372,0.975009552151991
"59","BA.2",2022-05-07,18,0.969131730496884,0.991603000635224,0.977338440763143
"60","BA.2",2022-05-14,19,0.973195016384125,0.993163213453955,0.979894344857593
"61","BA.2",2022-05-21,20,0.948378041386605,0.99319192141411,0.954878932197013
"62","BA.2",2022-05-28,21,0.923561066389084,0.99329901766032,0.929791583368822
"63","BA.2",2022-06-04,22,0.851955384016037,0.994387164129876,0.856764261193504
"64","BA.2",2022-06-11,23,0.78034970164299,0.995565669494682,0.783825442714463
"65","BA.2",2022-06-18,24,0.644354552030563,0.994640659366269,0.647826474780461
"66","BA.2",2022-06-25,25,0.508359402418136,0.993715649237855,0.51157431485358
"67","BA.2",2022-07-02,26,0.369727440178394,0.992376552603673,0.372567690367482
"68","BA.2",2022-07-09,27,0.231095477938652,0.99103745596949,0.233185412465144
"69","BA.2",2022-07-16,28,0.16233029263094,0.988035030066384,0.164296090412942
"70","BA.2",2022-07-23,29,0.093565107323229,0.985032604163279,0.0949868125458715
"71","BA.2",2022-07-30,30,0.065228349994868,0.980075019982905,0.0665544460014967
"72","BA.2",2022-08-06,31,0.036891592666507,0.975117435802531,0.0378329740726509
"73","BA.2",2022-08-13,32,0.0249232758069415,0.969433929116349,0.0257091020423221
"74","BA.2",2022-08-20,33,0.012954958947376,0.963750422430167,0.0134422342609294
"75","BA.2",2022-08-27,34,0.0088939293054865,0.952373334581353,0.00933870046812694
"76","BA.2",2022-09-03,35,0.004832899663597,0.940982365224045,0.00513601512866429
"77","BA.2",2022-09-10,36,0.005183274275623,0.929934229701757,0.00557380738343759
"78","BA.2",2022-09-17,37,0.005533648887649,0.918886094179469,0.00602212714143894
"79","BA.2",2022-09-24,38,0.0073497442353985,0.907580173789029,0.00809817627980377
"80","BA.2",2022-10-01,39,0.009165839583148,0.896167070080993,0.0102278245755221
"81","BA.2",2022-10-08,40,0.012918550419272,0.878774979217269,0.0147006352306237
"82","BA.2",2022-10-15,41,0.016671261255396,0.861382888353545,0.019354065980184
"83","BA.2",2022-10-22,42,0.017640510013734,0.853032429607992,0.0206797648031279
"84","BA.2",2022-10-29,43,0.018609758772072,0.84484905593854,0.0220273179466342
"85","BA.2",2022-11-05,44,0.0198244126586355,0.833574615156977,0.0237824092746661
"86","BA.2",2022-11-12,45,0.021039066545199,0.822133089299314,0.0255908280776415
"87","BA.2",2022-11-19,46,0.018529541644966,0.827845604311734,0.0223828471739865
"88","BA.2",2022-11-26,47,0.016020016744733,0.833721417468042,0.0192150716163497
"89","BA.2",2022-12-03,48,0.015458706900972,0.846206869035086,0.0182682361330856
"90","BA.2",2022-12-10,49,0.014897397057211,0.858613932316074,0.0173505186632902
"91","BA.2",2022-12-17,50,0.014691135049361,0.870205652292497,0.0168823714378989
"92","BA.2",2022-12-24,51,0.014484873041511,0.881886364135426,0.0164248747124144
"93","BA.2",2022-12-31,52,0.014408003538847,0.887278578680707,0.0162384214890776
"94","BA.2",2023-01-07,53,0.014331134036183,0.892670793225988,0.0160542208224291
"95","BA.2",2023-01-14,54,0.009581561665982,0.895972060461646,0.0106940406836404
"96","BA.2",2023-01-21,55,0.004831989295781,0.899273327697303,0.00537321540287855
"97","BA.2",2023-01-28,56,0.0063799178460615,0.90132517033635,0.0070783753256116
"98","BA.2",2023-02-04,57,0.007927846396342,0.903213714831509,0.00877737601429237
"99","BA.2",2023-02-11,58,0.005285063874908,0.905617439508206,0.00583586804355054
"100","BA.2",2023-02-18,59,0.002642281353474,0.908269847102929,0.00290913692874643
"101","BA.2",2023-02-25,60,0.0032424594974145,0.89693905828426,0.00361502765150728
"102","BA.2",2023-03-04,61,0.003842637641355,0.885571082239038,0.00433916341491126
"103","BA.2",2023-03-11,62,0.002865138929337,0.885844896081833,0.00323435732599437
"104","BA.2",2023-03-18,63,0.001887640217319,0.886304474901406,0.0021297875287485
"105","BA.2",2023-03-25,64,0.0013303466548675,0.887973843346117,0.00149818225484481
"106","BA.2",2023-04-01,65,0.000773053092416,0.889643211790827,0.000868947328738524
"107","BA.2",2023-04-08,66,0.0006410476926245,0.884704033349408,0.000724589996721901
"108","BA.2",2023-04-15,67,0.000509042292833,0.881328284507617,0.000577585335431953
"109","BA.2",2023-04-22,68,0.0011947632301595,0.880433524376712,0.00135701696616484
"110","BA.2",2023-04-29,69,0.001880484167486,0.879538764245807,0.00213803443796874
"111","BA.2",2023-05-06,70,0.001203697029268,0.866014376530074,0.00138992730593105
"112","BA.2",2023-05-13,71,0.00052690989105,0.85248998881434,0.000618083376888492
"113","BA.2",2023-05-20,72,0.0008187158673535,0.832655512567726,0.000983258808710413
"114","BA.2",2023-05-27,73,0.001110521843657,0.812821036321111,0.00136625627786813
"115","BA.2",2023-06-03,74,0.0013424686039795,0.790960533136967,0.00169726370373404
"116","BA.2",2023-06-10,75,0.001574415364302,0.769100029952823,0.00204708789882452
"117","BA.2",2023-07-01,78,0.0011774032027455,0.717869869200511,0.00164013458881729
"118","BA.2",2023-07-08,79,0.000780391041189,0.699170236359349,0.00111616742333395
"119","BA.2",2023-07-15,80,0.001021671807393,0.689304285624528,0.00148217823202323
"120","BA.2",2023-07-22,81,0.001262952573597,0.67925256991293,0.00185932689773834
"121","BA.2",2023-07-29,82,0.0008209921943485,0.667185592697932,0.00123053046009074
"122","BA.2",2023-08-05,83,0.0003790318151,0.655644149344879,0.000578105997710388
"123","BA.2",2023-09-09,88,0.001091277779778,0.578352888773225,0.00188687184063828
"124","BA.2",2023-09-16,89,0.001803523744456,0.561542899173219,0.00321172923228376
"125","BA.2",2023-09-23,90,0.0014224792830645,0.570242849469651,0.00249451489727134
"126","BA.2",2023-09-30,91,0.001041434821673,0.578942799766083,0.00179885616004514
"127","BA.2",2023-10-07,92,0.0018901783623735,0.57131848303834,0.00330844952244728
"128","BA.2",2023-10-14,93,0.002738921903074,0.564040918194224,0.00485589221406605
"129","BA.2",2023-11-04,96,0.0017525851726535,0.596774332108907,0.00293676366150022
"130","BA.2",2023-11-11,97,0.000766248442233,0.602930426597594,0.00127087373340408
"131","BA.2",2023-12-16,102,0.0010870906990025,0.725038377568126,0.00149935607912059
"132","BA.2",2023-12-23,103,0.001407932955772,0.74257813161239,0.00189600648852249
"133","BA.4/5",2022-01-08,1,4.8788497225e-05,0.526576258213026,9.26522919786912e-05
"134","BA.4/5",2022-01-15,2,3.52324796045e-05,0.596429867619918,5.90722925146202e-05
"135","BA.4/5",2022-01-22,3,2.1676461984e-05,0.666360856799657,3.252961479176e-05
"136","BA.4/5",2022-01-29,4,3.35620306945e-05,0.705982065895114,4.7539494720658e-05
"137","BA.4/5",2022-02-05,5,4.5447599405e-05,0.74571483667023,6.09450116453803e-05
"138","BA.4/5",2022-02-26,8,0.000762744291933,0.822021596433843,0.000927888385465778
"139","BA.4/5",2022-03-05,9,0.001480040984461,0.849432913266356,0.00174238714010944
"140","BA.4/5",2022-03-26,12,0.000817934429506,0.933969610774512,0.000875761288236897
"141","BA.4/5",2022-04-02,13,0.000155827874551,0.960854876582744,0.000162176285252564
"142","BA.4/5",2022-04-09,14,0.0002534090854175,0.973340780776199,0.0002603498080245
"143","BA.4/5",2022-04-16,15,0.000350990296284,0.985664921325225,0.000356094945341155
"144","BA.4/5",2022-04-23,16,0.002288350962772,0.987615158908739,0.00231704722444773
"145","BA.4/5",2022-04-30,17,0.00422571162926,0.989804092154372,0.00426924041106202
"146","BA.4/5",2022-05-07,18,0.009783515619347,0.991603000635224,0.009866363467113
"147","BA.4/5",2022-05-14,19,0.015341319609434,0.993163213453955,0.0154469269517958
"148","BA.4/5",2022-05-21,20,0.041783584514633,0.99319192141411,0.0420700003833513
"149","BA.4/5",2022-05-28,21,0.068225849419832,0.99329901766032,0.0686861138557607
"150","BA.4/5",2022-06-04,22,0.141643984243274,0.994387164129876,0.142443496208258
"151","BA.4/5",2022-06-11,23,0.215062119066716,0.995565669494682,0.216020023245553
"152","BA.4/5",2022-06-18,24,0.349972933530807,0.994640659366269,0.35185866396593
"153","BA.4/5",2022-06-25,25,0.484883747994899,0.993715649237855,0.487950198194813
"154","BA.4/5",2022-07-02,26,0.622214015573263,0.992376552603673,0.626993870361786
"155","BA.4/5",2022-07-09,27,0.759544283151627,0.99103745596949,0.766413296063161
"156","BA.4/5",2022-07-16,28,0.82531713694334,0.988035030066384,0.835311615305673
"157","BA.4/5",2022-07-23,29,0.891089990735054,0.985032604163279,0.904629945210775
"158","BA.4/5",2022-07-30,30,0.91461943089962,0.980075019982905,0.933213695126699
"159","BA.4/5",2022-08-06,31,0.938148871064186,0.975117435802531,0.962088089720271
"160","BA.4/5",2022-08-13,32,0.94441857561469,0.969433929116349,0.974195917070429
"161","BA.4/5",2022-08-20,33,0.950688280165195,0.963750422430167,0.986446550931687
"162","BA.4/5",2022-08-27,34,0.942999115213752,0.952373334581353,0.990156990932844
"163","BA.4/5",2022-09-03,35,0.935309950262308,0.940982365224045,0.993971815868848
"164","BA.4/5",2022-09-10,36,0.92220258526504,0.929934229701757,0.991685815846141
"165","BA.4/5",2022-09-17,37,0.909095220267772,0.918886094179469,0.989344844835812
"166","BA.4/5",2022-09-24,38,0.886743886396289,0.907580173789029,0.977041931947729
"167","BA.4/5",2022-10-01,39,0.864392552524805,0.896167070080993,0.964543980004402
"168","BA.4/5",2022-10-08,40,0.814512050943449,0.878774979217269,0.92687214611975
"169","BA.4/5",2022-10-15,41,0.764631549362093,0.861382888353545,0.887679056201844
"170","BA.4/5",2022-10-22,42,0.696006360696629,0.853032429607992,0.81592016497717
"171","BA.4/5",2022-10-29,43,0.627381172031165,0.84484905593854,0.742595576832609
"172","BA.4/5",2022-11-05,44,0.539888777013403,0.833574615156977,0.647679004610442
"173","BA.4/5",2022-11-12,45,0.452396381995641,0.822133089299314,0.550271468067547
"174","BA.4/5",2022-11-19,46,0.37731100874953,0.827845604311734,0.455774611575336
"175","BA.4/5",2022-11-26,47,0.302225635503419,0.833721417468042,0.36250194509967
"176","BA.4/5",2022-12-03,48,0.248456867338973,0.846206869035086,0.293612444463236
"177","BA.4/5",2022-12-10,49,0.194688099174527,0.858613932316074,0.226746960242497
"178","BA.4/5",2022-12-17,50,0.16075219209597,0.870205652292497,0.184728968000241
"179","BA.4/5",2022-12-24,51,0.126816285017413,0.881886364135426,0.143801163250483
"180","BA.4/5",2022-12-31,52,0.106277296872577,0.887278578680707,0.119778950406535
"181","BA.4/5",2023-01-07,53,0.085738308727741,0.892670793225988,0.0960469518868145
"182","BA.4/5",2023-01-14,54,0.071539119409863,0.895972060461646,0.079845256974869
"183","BA.4/5",2023-01-21,55,0.057339930091985,0.899273327697303,0.0637625161627008
"184","BA.4/5",2023-01-28,56,0.048014972882811,0.90132517033635,0.0532715322538847
"185","BA.4/5",2023-02-04,57,0.038690015673637,0.903213714831509,0.0428359479471085
"186","BA.4/5",2023-02-11,58,0.034588752314448,0.905617439508206,0.0381935581245337
"187","BA.4/5",2023-02-18,59,0.030487488955259,0.908269847102929,0.0335665540945829
"188","BA.4/5",2023-02-25,60,0.0226455433294175,0.89693905828426,0.0252475830105289
"189","BA.4/5",2023-03-04,61,0.014803597703576,0.885571082239038,0.0167164420795531
"190","BA.4/5",2023-03-11,62,0.011378503870219,0.885844896081833,0.0128448037806021
"191","BA.4/5",2023-03-18,63,0.007953410036862,0.886304474901406,0.00897367694972628
"192","BA.4/5",2023-03-25,64,0.006169305648655,0.887973843346117,0.00694762091798498
"193","BA.4/5",2023-04-01,65,0.004385201260448,0.889643211790827,0.00492916846026477
"194","BA.4/5",2023-04-08,66,0.0035172076895835,0.884704033349408,0.00397557551113187
"195","BA.4/5",2023-04-15,67,0.002649214118719,0.881328284507617,0.0030059333908693
"196","BA.4/5",2023-04-22,68,0.002324451575987,0.880433524376712,0.00264012161239834
"197","BA.4/5",2023-04-29,69,0.001999689033255,0.879538764245807,0.00227356554883594
"198","BA.4/5",2023-05-06,70,0.00113157198939,0.866014376530074,0.00130664342308491
"199","BA.4/5",2023-05-13,71,0.000263454945525,0.85248998881434,0.000309041688444246
"200","BA.4/5",2023-05-20,72,0.0012838535913035,0.832655512567726,0.00154187845024214
"201","BA.4/5",2023-05-27,73,0.002304252237082,0.812821036321111,0.0028348826298975
"202","BA.4/5",2023-06-03,74,0.001400172739523,0.790960533136967,0.00177021821047111
"203","BA.4/5",2023-06-10,75,0.000496093241964,0.769100029952823,0.000645030844680153
"204","BA.4/5",2023-06-17,76,0.000673448404996,0.751260350632946,0.00089642479391946
"205","BA.4/5",2023-06-24,77,0.000850803568028,0.734995086677372,0.00115756361294081
"206","BA.4/5",2023-07-01,78,0.001155450590886,0.717869869200511,0.00160955437811148
"207","BA.4/5",2023-07-08,79,0.001460097613744,0.699170236359349,0.00208832919053717
"208","BA.4/5",2023-07-15,80,0.000992815737845,0.689304285624528,0.00144031563208037
"209","BA.4/5",2023-07-22,81,0.000525533861946,0.67925256991293,0.000773694329950589
"210","BA.4/5",2023-10-07,92,0.0005904217250645,0.57131848303834,0.00103343711536264
"211","BA.4/5",2023-10-14,93,0.000655309588183,0.564040918194224,0.00116181214348947
"212","BQ",2022-01-22,3,7.7379772847e-05,0.666360856799657,0.000116122926575599
"213","BQ",2022-01-29,4,5.72834997e-05,0.705982065895114,8.11401627141481e-05
"214","BQ",2022-02-05,5,3.7187226553e-05,0.74571483667023,4.9867891483893e-05
"215","BQ",2022-02-12,6,3.39465786965e-05,0.770129222853938,4.40790684071188e-05
"216","BQ",2022-02-19,7,3.070593084e-05,0.794656949794445,3.86404861216437e-05
"217","BQ",2022-08-27,34,0.0003444926587695,0.952373334581353,0.000361720184995449
"218","BQ",2022-09-03,35,0.000658279386699,0.940982365224045,0.000699566124751196
"219","BQ",2022-09-10,36,0.0023086977817005,0.929934229701757,0.00248264630762213
"220","BQ",2022-09-17,37,0.003959116176702,0.918886094179469,0.00430860386481019
"221","BQ",2022-09-24,38,0.0122636745800265,0.907580173789029,0.0135124972252614
"222","BQ",2022-10-01,39,0.020568232983351,0.896167070080993,0.0229513376133003
"223","BQ",2022-10-08,40,0.04749873559922,0.878774979217269,0.0540510787431925
"224","BQ",2022-10-15,41,0.074429238215089,0.861382888353545,0.0864066830458563
"225","BQ",2022-10-22,42,0.130591453053057,0.853032429607992,0.153090842177091
"226","BQ",2022-10-29,43,0.186753667891026,0.84484905593854,0.221049744422762
"227","BQ",2022-11-05,44,0.253526460379362,0.833574615156977,0.304143691241868
"228","BQ",2022-11-12,45,0.320299252867699,0.822133089299314,0.389595379430212
"229","BQ",2022-11-19,46,0.394104652106762,0.827845604311734,0.476060572230034
"230","BQ",2022-11-26,47,0.467910051345826,0.833721417468042,0.561230695940184
"231","BQ",2022-12-03,48,0.529185384511948,0.846206869035086,0.625361721673765
"232","BQ",2022-12-10,49,0.59046071767807,0.858613932316074,0.687690585319676
"233","BQ",2022-12-17,50,0.62416735291481,0.870205652292497,0.717264190677782
"234","BQ",2022-12-24,51,0.65787398815155,0.881886364135426,0.745984987302201
